Table 1
sheet	database	link	query	hits	notes	
	P - Delpher					
	P - Gallica					
	P - ProQuest - EEBO Early English Books Online - Books					
	M - 					
						
	P - Delpher boeken basis	https://www.delpher.nl/nl/boeken/results?query=hond*+or+campe*&page=1&sortfield=date&cql%5B%5D=(dateSort+_lte_+%221700%22)&coll=boeken	print to 1700 with hond* or campe*	681 hits	vars false matches	
	P - Delpher boeken basis	https://www.delpher.nl/nl/boeken/results?query=(hond*+or+campe*)&page=1&sortfield=date&cql%5B%5D=(dateSort+_lte_+%221599%22)&coll=boeken	print to 1599 with hond* or campe*	75 hits		
Duta	P - Delpher boeken basis	https://www.delpher.nl/nl/boeken/results?coll=boeken&query=%28hondur%2A+or+campec%2A+or+campes%2A+or+campel%2A%29&cql%5B%5D=%28dateSort+_lte_+%221699%22%29&sortfield=date	print to 1699 with (hondur* or campec* or campes* or campel*)	11 hits	vars false matches so only true matches inc in sheet	
	P - Delpher boeken Google				cannot be queried well ie no date-bound querying nor truncation	
Frea	P - Gallica livres	https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(text%20all%20%22honduras%22%20or%20text%20all%20%22hondur*%22%20)%20and%20(dc.type%20all%20%22monographie%22)%20and%20(gallicapublication_date%3C=%221700%22)%20sortby%20dc.date/sort.ascending&suggest=10&keywords=honduras%20hondur*	print to 1700 with honduras or hondur*	19 hits	vars false matches so only true matches inc in sheet	
