Table 1
	CODE	SERIAL	LOC	ARTICLE	YEAR	LOC DATE	URL	URL	PARA EXTRACT	NOTE	
	See “Advertentie - Door dese Stadt is dese weeck gearribeert 't” in no 36 for 30 June 1635 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010555114:mpeg21:a0012] / 	"Courante uyt Italien, Duytslandt, &c."	no 36 for 30 June 1635 p 2 	Advertentie - Door dese Stadt is dese weeck gearribeert 't	1635	30 Jun 1635	https://resolver.kb.nl/resolve?urn=ddd:010555114:mpeg21:a0012	^^^	"Voor dese Stadt is dese weeck ghearriveert 't Iacht de Brack , mede brenghende een Spaensche Prijse, gheladen met 60 Last Campesy-hout , 4 Balen met Consenillie Campesy , eenighe Suyckeren ende Huyden."	Advertisement of unnamed ship from ^^^ to publication city will bring Sp prize with 50 loads logwood within week	
	"See ""Amsterdam den 21 Maert"" in no 12 for 22 March 1661 p 2 [http://resolver.kb.nl/resolve?urn=ddd:010900228:mpeg21:a0005] / "	Haerlemse Courante	no 12 for 22 March 1661 p 2 	Amsterdam den 21 Maert	1661	21 Mar 1661	http://resolver.kb.nl/resolve?urn=ddd:010900228:mpeg21:a0005	^^^	"Amsterdam den 21 Maert. Op den 4 deser zijn seven kloecke Schepen, en een kleyn, alle gheladen met Wolle, van Bilbao vertrocken, en den 14 deser 4 in't Texel gearriveert: d'andere waren in de Hoofden van dese ghescheyden, omme in Seelant in te loopen: komende onder 't geleyde van Capiteyn Albert de Graef, met het Schip de Grooten Harder. Daer zijn op Vrijdagh laetst oock verscheyde Schepen, van diverse Quartieren, in Texel ghearriveert, daer onder het Schip de Moor, en het Schip de St. Iacob, beyde komende van de Canarisse Eylanden, het eerste met Wijn, en het ander met Campechi-Hout: met tijdinghe, dat sy het Schip de Goude Leeu aldaer aen de Eylanden hadde ghesien, oock het Schip ghenaemt het West-Indies-Huys, en 't Schip de St. Pieter, beyde komende van Carsouw. Vermitsmen seght, de noodigheordres zijn gestelt tot de Equipage van de achtien Schepen van Oorlogh, onder het Commando van de Vice-Admirael de Ruyter, om naer de de Straet te gaen, en de wintigh, die order den Vice-Admirael Cortenaer in de Bocht, het Canael, en de Noordt-See sullen kruyssen, soo vermeyntmen, dat de Vergaederinghe van haere Ed: Groot Moghende wel haest mochte scheyden."	St Iacob from Canary to Texel brought logwood and news of Goude Leeu and St Pieter in West-Indies and Curacao	
	"See ""Cadix den 16 January” in no 8 for 19 Feb 1667 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010926740:mpeg21:a0007, https://resolver.kb.nl/resolve?urn=MMNHA02:164940015:mpeg21:a00007] /"	Oprechte Haerlemsche Courant	no 8 for 19 Feb 1667 p 2 	Cadix den 16 January	1667	16 Jan 1667	https://resolver.kb.nl/resolve?urn=MMNHA02:164940015:mpeg21:a00007	https://resolver.kb.nl/resolve?urn=ddd:010926740:mpeg21:a0007	"Cadix den 16 January. Alhier zijn verscheyde Schepen gearriveert onder allen een van de Honduras, en een ander vande Caraques, geladen met Tabacq, Huyden en Indigo; met de selve komt Tydinge, dat de Engelsse voor hebben, by de Provintie van Guattimalo, een Fortresse te maecken, hebbende met 38 Schepen, kleyn Vaertruygh, die geheele Kust geplondert. In Marikaibo hebben sy den Gouverneur, en een deel ander Volck doodt-geslagen, treckende t'Landtwaert in, roovende en plonderende, niemant verschonende, maer alles doodende, wat haer ontmoete."	unnamed ship from Honduras to Cadiz with news of Eng in Hon	
	See “Vlissingen den 24 April” in no 17 for 28 April 1668 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164940183:mpeg21:a00006] /	Oprechte Haerlemsche Courant	no 17 for 28 April 1668 p 2 	Vlissingen den 24 April	1668	24 Apr 1668	https://resolver.kb.nl/resolve?urn=MMNHA02:164940183:mpeg21:a00006	^^^	"Vlissingen den 24 April. Op Gisteren en heden zijn hier gearriveert Schipper Cornelis Bergenaer en Adriaen Centsen Vos, van Bilboa, geladen met Wolle, cock goede partyen Stucken van Achten: noch is hier gearriveert een kleyn Scheepjen, met omtrent 60 Va[ill]en Blaen Taback, van Brest, dat lange daer gelagen heest, en uyt een Prijs gelost. Schipper Thomas Tolcq, komende van de Canarise Eylanden, geladen met Huyden en Campeche Hout, op Middelburgh, is heden oock ghearriveert. Tot Oostende was een Frans-Schaepjen, met 44 Kisten Brazielise Suycker, opgebracht, en twee met Wijnen."	Thomas Tolcq from Canary to Middelburgh or Vlissingen just arrived today with logwood	
	See “Amsterdam den 5 December” in no 19 for 6 Dec 1668 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164940278:mpeg21:a00006] /	Oprechte Haerlemsche Courant	no 19 for 6 Dec 1668 p 2 	Amsterdam den 5 December	1668	5 Dec 1668	https://resolver.kb.nl/resolve?urn=MMNHA02:164940278:mpeg21:a00006	^^^	"Amsterdam den 5 December. Het Schip't Wapen van Amsterdam, gedestineert na West Indien, 't welck geseght was gebleven te zijn, daer van is Tydinge't selve in Goeree soude gekomen zijn, hebbende een Leck; doch was light te repareeren: waerom na alle apparentie in weynight Dagen sijn Reys soude vervolgen. Van het Schip de Wassetide Maen komt geen naerder noch seeckere Tydinge. [new para] Amsterdam den 5 December. Alier is Tydinge van Habel de Grace, dat aldaer een Schip van St. Domingo was gearriveert, met Tydinge, hoe dat seecker Engels Schip, ophebende 500 Man, is gekomen by Porto Vedo, en zijn aldaer gelant, hebben de Stadt ingenomen, als mede het Casteel; ende, na dat sy de Stadt hadden geplondert, sijn de Inwoonders met de Engelsse veraccordeert, voor 100000 Stucken van Achten, om de Stadt van Brandt te verschoonen, als mede het Casteel en't selveteruymen: van daer waren gemelde Engelsse vertrocken nae de Honduras; alwaer hebbe gevonden seecker Frans Schip, dat al by den Oorlog, tusschen Vranckrijck en Spangie, sigh aldaer onthouden heest, geladen met Pampier, Yser, Indigo en andere Coopmanschap, gemonteert met 36 Stucken, 't selve Schip soude by gedachte Engelsse zijn genomen."	unnamed ship from St Domingue to Havre de Grace with news of Eng attack on Portobello and then Eng attack on Fr merchant-ship in Honduras	
	See “d’Amsterdam le 6 Decembre” in no ^^^ for 6 Dec 1668 p 4 [https://resolver.kb.nl/resolve?urn=ddd:011014630:mpeg21:a0008]	Gazette d’Amsterdam	no ^^^ for 6 Dec 1668 p 4 	d’Amsterdam le 6 Decembre	1668	6 Dec 1668	https://resolver.kb.nl/resolve?urn=ddd:011014630:mpeg21:a0008	^^^	"d'Amsterdam le 6 Decembre. Il est encore arrivé au Texel 3 vasseaux de Moscovie, & en Zelande 2 de la Martinique. L'on a avis du Havre de Grace qu'il y est arrivé un vaiss. de S. Domingo qui donne avis qu'un vaiss. Anglois monté de 500 hommes estant arrivé a Porto Vedo, ils ont mis pied à terre, pris la ville & le chateau, pillé ce qu'ils ont voulu & reçu 100000 piastres des habitans pour ne bruler pas la ville, aprés quoi ils sont allés à Honduras, où ils ont pris un vaiss. François chargé de Papier, de fer & d'Indigo, qui y estoit resté depuis la guerre de France au Pais-bas. ON dit que le Ministre d'Oudeman est mort, & que Noss. les Estats useront de repressaille, si l'Espagne ne leur fait reparation de cet affront; & que cepandant on conduit à Middelbourg les 4 prisonnier qu'on a menés à Isendiick. Le vaiss. nommé les armes d'Amsterdam qui s'en alloit aux Indes d'Occident & que l'on croyoit perdu est arrivé à Goerée."	unnamed ship from St Domingue to Havre de Grace with news of Eng attack on Portobello and then Eng attack on Fr merchant-ship in Honduras	
	See “Cadix den 13 Ianuary” in no 7 for 14 Feb 1669 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164941020:mpeg21:a00002] /	Oprechte Haerlemsche Courant	no 7 for 14 Feb 1669 p 1 	Cadix den 13 Ianuary	1669	13 Jan 1669	https://resolver.kb.nl/resolve?urn=MMNHA02:164941020:mpeg21:a00002	^^^	"Cadix den 13 Ianuary. 't Rotterdams Convoy sal hier noch eenige dagen tardeeren. Twee Schepen uyt indien gearriveert brenghen mede omtrent 800 Kassen Indigo, een weynigh concenilje en een goede Party Silver, soo dat seer rijck zijn: met deselve heest men confirmatie, dat seker Schip van hier nae de Honduras vertrocken, en aldaer gearriveert op de reede leggende, door de Engelsee is genomen, in hebbende ontrent het derde deel van sijn ladinghe, waer mede het selve van hier vertrocken was."	two Sp ships from ^^^ to Cadiz with news that ship from there to Honduras was taken by Eng	
	"See ""Cadix, den 13. Ian” in no 7 for 16 Feb 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010758935:mpeg21:a0002]"	Tĳdinghe uyt Verscheyde Quartieren	no 7 for 16 Feb 1669 p 1 	"Cadix, den 13. Ian"	1669	13 Jan 1669	https://resolver.kb.nl/resolve?urn=ddd:010758935:mpeg21:a0002	^^^	"Cadix, den 13 Ian. Daer zijn voor weynige dagen twee schepen de S. Salvador en S. Clementtia uytIndiengearriveert, met quantiteyt van Indigo, oock eenigh Silver en Concenillie, op haer vertreck souden noch drie schepen, rijckelijck geladen, in vier weecken volgen. Daer is seeckerheyt, dat de Engelse op de reede van Honduras een Schip hebben genomen, men meent het de S. Iulia is, waer over groote verbittering jegens de Engelse ontstaet. 't Rotterdams convoy versterckt zynde met noch 3. Schepen van hier, sal den 18. deser, de wint dienende, t'zeyl gaen naer 't Vaderlant."	S Salvador and S Clementtia from ^^^ to Cadix with news Eng seized a Sp ship on roadstead of Hon possibly S Iulia	
	See “Amsterdam den 6 Fekruary” in no 6 for 7 Feb 1669 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010926810:mpeg21:a0006] /	Oprechte Haerlemsche Courant	no 6 for 7 Feb 1669 p 2 	Amsterdam den 6 Fekruary	1669	6 Feb 1669	https://resolver.kb.nl/resolve?urn=ddd:010926810:mpeg21:a0006	^^^	"Amsterdam den 6 Fekruary. Veel rept men hier vanden Bisschop van Munster, en dat de Stenden 24000 Rijckdoelders 's maents souden geconsenteert hebben: doch Passagiers, door Munsterlant gepasseert zijnde, seggen nergens eenige Wervinge of veel Krijgs-Volck vernomen te hebben. Over Vranckrijck is confirmatie, dat de Engelsse een Spaens Schip vande Honduras hadde genomen en aen Iamaica opgebracht. De Schepen met Capiteyn van Gelder, den 4 deser al voor de Wal geweest zijnde, verstaetmen dat 13 sterck geweest zijn: als de bonte Coningh, komende van Cadix, 2 Schepen van Marsielje, de Hoop en Coningh David: het Wapen van Gravesande, dat nae de Maes geseylt was: 2 Hamburgers, een kleyne,die naeHamburghgeseyltwas, eneengroote Fluyt die hier hoorde, komende van Genua: een kleyn Scheepje, van de kust van Guinea komende: twee Schepen in Zeelandt t'huys hoorende, waer van d'eene het vliegende witte Paert genaemt was, komende van Bordeaux, ende een Galjoot, komende van St. Lucar, met Fruyt per Rotterdam."	news received in Amsterdam of Eng seizure of Sp ship from Honduras taken to Jamaica	
	"See “Lissabon den 5 Maert” in no 15 for 11 April 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010926658:mpeg21:a0001, https://resolver.kb.nl/resolve?urn=MMNHA02:164941043:mpeg21:a00001, https://resolver.kb.nl/resolve?urn=MMNHA02:164941043:mpeg21:a00001] /"	Oprechte Haerlemsche Courant	no 15 for 11 April 1669 p 1 	Lissabon den 5 Maert	1669	5 Mar 1669	https://resolver.kb.nl/resolve?urn=MMNHA02:164941043:mpeg21:a00001	https://resolver.kb.nl/resolve?urn=ddd:010926658:mpeg21:a0001	"Lissabon den 5 Maert. Heden komt een Tydinge van St. Huber, dat aldaer een Spaens Schip was ingekomen, alsoo d'eerste Haven, die konde bekomen, maer hadde genomen, met bericht, dat 30 Fransse Schepen in de Honduras een Inval hadden gedaen, en sekere Stedeken, daer grooten Rijckdom ingevonden was, hadden uytgeplondert: dat een Fransen Malthees, genaemt Nicolai de Plossis, hadde vermeestert een Galioen; waert 400000 Pattacques; doch hy self was in die Actie gebleven: de voorsz. Franssen souden het restant van onse Brasielsse Vloot oock genomen hebben; soo men hier uytstroyt; maer heest geen apparentie."	unnamed Sp ship from ^^^ to St Huber with news of Fr raid in Hon	
	"See “Lissabon, den 12. dito” in no 15 for 13 April 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010758936:mpeg21:a0001]"	Tĳdinghe uyt Verscheyde Quartieren	no 15 for 13 April 1669 p 1 	"Lissabon, den 12. dito"	1669	12 Mar 1669	https://resolver.kb.nl/resolve?urn=ddd:010758936:mpeg21:a0001	^^^	"Lissabon, den 12. dito. Hier is sekere narichtinge door een schip tot S. Hubis aengelant, hoe dat op den 11. Febr. inde Honduras zyn gekomen 7. Franse Oorlogschepen, en 12. a 15. andere van mindere calibere, onder 't commando van Mons. du Pont Alberas, en dat de selve aenstonts het Stedeken Cuada, (daer vry considerabele rijckdom in was) hadden aengedaen, en in korte van alles berooft en uytgeplondert, nevens noch twee andere plaetsen van minder Coopmanschappen versien: seeckeren Cap. van een der gemelde Oorlogschepen genaemt S. Nicolai de Plesses hadde vermeestert een seer rijck Spaens Gallioen, wel geschat op 600000. guld. hier op is aenstonts een Couriernaer Spanjen gesonden."	unnamed ship to Lisbon with further news of Fr raid on Hon eg raid lead by Mons du Pont Alberas on 11 Feb	
