Table 1
	CODE	SERIAL	LINK	DATE	NOTE	EXTRACT	
	"<ul><li><article data-identifier=""ddd:010555045:mpeg21:a0004"" data-metadata=""{&quot;title&quot;:&quot;Franckfoort, den 3. Februarij.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;15-02-1625&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;830620397&quot;,&quot;objectlevelId&quot;:&quot;ddd:010555045:mpeg21:a0004&quot;}"" data-coll=""ddd"" class=""search-result search-result--first-result search-result--minimal-view"" id=""rowid_1"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=ddd:010555045:mpeg21:a0004&amp;resultsidentifier=ddd:010555045:mpeg21:a0004&amp;rowid=1"" class=""search-result__link""><h2 class=""search-result__heading"">                                Franckfoort, den 3. Februarij.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22830620397%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2215-02-1625%22%29&amp;coll=ddd"" class=""metadata__details-link"">15-02-1625</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=ddd:010555045:mpeg21:a0004&resultsidentifier=ddd:010555045:mpeg21:a0004&rowid=1	15 Feb 1625	re military in Europe		
	"<li><article data-identifier=""MMKB08:000213342:mpeg21:a0015"" data-metadata=""{&quot;title&quot;:&quot;Met de Serche Krijghs-toeruftinghe in defe&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;01-04-1628&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213342:mpeg21:a0015&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_2"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=MMKB08:000213342:mpeg21:a0015&amp;resultsidentifier=MMKB08:000213342:mpeg21:a0015&amp;rowid=2"" class=""search-result__link""><h2 class=""search-result__heading"">                                Met de Serche Krijghs-toeruftinghe in defe                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2201-04-1628%22%29&amp;coll=ddd"" class=""metadata__details-link"">01-04-1628</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=MMKB08:000213342:mpeg21:a0015&resultsidentifier=MMKB08:000213342:mpeg21:a0015&rowid=2	1 Apr 1628	re East India Co		
	"<li><article data-identifier=""MMKB08:000213379:mpeg21:a0009"" data-metadata=""{&quot;title&quot;:&quot;De Jonglijte 25 Brieven van Bruffel abbijferen\/&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;16-12-1628&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213379:mpeg21:a0009&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_3"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=MMKB08:000213379:mpeg21:a0009&amp;resultsidentifier=MMKB08:000213379:mpeg21:a0009&amp;rowid=3"" class=""search-result__link""><h2 class=""search-result__heading"">                                De Jonglijte 25 Brieven van Bruffel abbijferen/                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2216-12-1628%22%29&amp;coll=ddd"" class=""metadata__details-link"">16-12-1628</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=MMKB08:000213379:mpeg21:a0009&resultsidentifier=MMKB08:000213379:mpeg21:a0009&rowid=3	16 Dec 1628	"re two yachts [Oudt-Vlissinghen, Tijgher] brought to Bergen op Zoom a [seized Sp?] ship with 80 loads logwood and braziletto"	"Wt Berghen op den Zoom den 11.Decemb. [new para] [vars para] [new para] Den Viador van Spaengien heeft met eenige personen getracteert/om Spaengien ende d'Havana van Masten/Touwerck eñ andere scheepssaken te versien/'twelck van Lubeck, Hamburgh ende Gottenburgh aldaer soude ghebracht worden. De twee Jachten / als Oudt-Vlissinghen ende den Tijgher , hebben een Schip groot 150[ill] Lasten/ in hebbende 80. Lasten Campesche ende Brasilet-hout/ 6000. Huyden/ 2. kassen Silver[ill] eenighe Pijpen met Zuycker ende andere Wa[ill]ren/ die gheestimeert worden tusschen de 4. ende 5. Tonnen Gouts / verovert / ende worden all[ill] daghen van Bristo daerse ingheloopen zijn / ver[ill] wacht."	
	"<li><article data-identifier=""MMKB08:000213655:mpeg21:a0002"" data-metadata=""{&quot;title&quot;:&quot;Wt `t Vorftendom Swynits den 4. dito.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;29-11-1631&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213655:mpeg21:a0002&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_4"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=MMKB08:000213655:mpeg21:a0002&amp;resultsidentifier=MMKB08:000213655:mpeg21:a0002&amp;rowid=4"" class=""search-result__link""><h2 class=""search-result__heading"">                                Wt 't Vorftendom Swynits den 4. dito.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2229-11-1631%22%29&amp;coll=ddd"" class=""metadata__details-link"">29-11-1631</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=MMKB08:000213655:mpeg21:a0002&resultsidentifier=MMKB08:000213655:mpeg21:a0002&rowid=4	29 Nov 1631	re military in Europe		
	"<li><article data-identifier=""MMKB08:000213689:mpeg21:a0009"" data-metadata=""{&quot;title&quot;:&quot;Derleben Maenbagh is Bhen, Szarf Willem van&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;12-06-1632&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213689:mpeg21:a0009&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_5"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=MMKB08:000213689:mpeg21:a0009&amp;resultsidentifier=MMKB08:000213689:mpeg21:a0009&amp;rowid=5"" class=""search-result__link""><h2 class=""search-result__heading"">                                Derleben Maenbagh is Bhen, Szarf Willem van                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2212-06-1632%22%29&amp;coll=ddd"" class=""metadata__details-link"">12-06-1632</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=MMKB08:000213689:mpeg21:a0009&resultsidentifier=MMKB08:000213689:mpeg21:a0009&rowid=5	12 Jun 1632	re ad for incoming yacht [Otter] loaded with seized logwood etc.	"Cargo van 't Iacht den Otter van West-Indien comende , ende den achtsten Iunij voor Amsterdam ghearriveert , veravert [verovert?] hebbende in sijne Reyse van 16 maenden 8 Prijsen. [new para] [start list] 3 kisten Zijde. 18 Balen dito. 3 Balen Comijn. 15 Balen Anijs. 155 stucks Campesi-hout. 123 stucks [ill]ealen van Uchten. 1 stuck Gout/ weghende ses sude half [ill]5. 4 kassen Stozar. 2 Packen dito. 15 Legghers Wijn. 46 Pijpen dito. 2000 Rollen Marocque Taback. 325 stucks Huyden. 6 Risten Peper. 2 Balen Naghelen. 2 kisten dito. 11 kisten Marmelade. 16 Daten Peck. 1 dito Blausel. 2 kassen Cozdouaens Leer. 1 kist met Doosen onbekent. 1 Daetjen dzooghe. 8 kisten Was-Keerssen. [end list]"	
	"<li><article data-identifier=""ddd:010555072:mpeg21:a0010"" data-metadata=""{&quot;title&quot;:&quot;Wt Arnhem den 10.dito.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;12-06-1632&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;830620397&quot;,&quot;objectlevelId&quot;:&quot;ddd:010555072:mpeg21:a0010&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_6"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=ddd:010555072:mpeg21:a0010&amp;resultsidentifier=ddd:010555072:mpeg21:a0010&amp;rowid=6"" class=""search-result__link""><h2 class=""search-result__heading"">                                Wt Arnhem den 10.dito.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22830620397%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2212-06-1632%22%29&amp;coll=ddd"" class=""metadata__details-link"">12-06-1632</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=ddd:010555072:mpeg21:a0010&resultsidentifier=ddd:010555072:mpeg21:a0010&rowid=6	12 Jun 1632	ditto	ditto	
	"<li><article data-identifier=""ddd:010555145:mpeg21:a0009"" data-metadata=""{&quot;title&quot;:&quot;Wt t Legher van den Doorl. Prince van Orangien tot Boxel den 11. dito.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;13-08-1633&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;830620397&quot;,&quot;objectlevelId&quot;:&quot;ddd:010555145:mpeg21:a0009&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_7"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=ddd:010555145:mpeg21:a0009&amp;resultsidentifier=ddd:010555145:mpeg21:a0009&amp;rowid=7"" class=""search-result__link""><h2 class=""search-result__heading"">                                Wt t Legher van den Doorl. Prince van Orangien tot Boxel den 11. dito.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22830620397%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2213-08-1633%22%29&amp;coll=ddd"" class=""metadata__details-link"">13-08-1633</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=ddd:010555145:mpeg21:a0009&resultsidentifier=ddd:010555145:mpeg21:a0009&rowid=7	13 Aug 1633	not translated as of 28 JULY 2022 possibly re Spanish military	"Wt 't Legher van den Doorl.Prince van Orangien tot Boxel den 11.dito [Aug]. [vars para] [new para] Lijste van 'tghene d'Armade / onder het veleydt van den Generael Antonio de Oquendo, mede bzenght. [new para] Van Terra Firme. [start list] [vars items] T'samen in alles - 7 Millioen 122863 R. [Realen] van 8. 328 Quintalen sijne Coutsenil. 2700 Cassen Indigo. 400 Cassen Coutsenille Silvester. 8800 Quint. Brasillet-hout. 9000 Quint. Campetsehout. 950 kisten Suyckeren. 135000 Huyden. 60 Pijpen Toback. 560 Quint. Clock-spijs. [list continues]"	
	"<li><article data-identifier=""MMKB08:000213821:mpeg21:a0010"" data-metadata=""{&quot;title&quot;:&quot;Defe weke is tot Rotterdam ahearrbeert&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;11-03-1634&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213821:mpeg21:a0010&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_8"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=MMKB08:000213821:mpeg21:a0010&amp;resultsidentifier=MMKB08:000213821:mpeg21:a0010&amp;rowid=8"" class=""search-result__link""><h2 class=""search-result__heading"">                                Defe weke is tot Rotterdam ahearrbeert                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2211-03-1634%22%29&amp;coll=ddd"" class=""metadata__details-link"">11-03-1634</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=MMKB08:000213821:mpeg21:a0010&resultsidentifier=MMKB08:000213821:mpeg21:a0010&rowid=8	11 Mar 1634	re Sp silver fleet prize brought to Zeeland with logwood	[no headline] In Zeelandt is inghebracht/door de Avonturiers/ een Prijs van de Spaensche Silvere Dloot/ gheladen met Campesie-hout / Gemver ende Huyden.	
	"<li><article data-identifier=""MMKB08:000213826:mpeg21:a0010"" data-metadata=""{&quot;title&quot;:&quot;De Beffifche hebben Werle inghenomen\/&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;25-03-1634&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213826:mpeg21:a0010&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_9"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=MMKB08:000213826:mpeg21:a0010&amp;resultsidentifier=MMKB08:000213826:mpeg21:a0010&amp;rowid=9"" class=""search-result__link""><h2 class=""search-result__heading"">                                De Beffifche hebben Werle inghenomen/                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2225-03-1634%22%29&amp;coll=ddd"" class=""metadata__details-link"">25-03-1634</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=MMKB08:000213826:mpeg21:a0010&resultsidentifier=MMKB08:000213826:mpeg21:a0010&rowid=9	25 Mar 1634	re Sp prize brought to Middelburgh with 30 loads logwood	[no headline] Tot Middelburgh is verleden Saterdagh opghebracht een Barck van 30 Lasten/gheladen met Campesie-hout ende Huyden/door de Avonturiers. Derleden [Verleden?] Maendagh zijn uyt Zeelandt dele [vele?] wel ghemonteerde Avonturiers in Zee/na de Custe van Spaengien geloopen.	
	"<li><article data-identifier=""MMKB08:000213967:mpeg21:a0013"" data-metadata=""{&quot;title&quot;:&quot;Jacob Andziefz Sael is defe weke met het&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;30-06-1635&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213967:mpeg21:a0013&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_10"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=MMKB08:000213967:mpeg21:a0013&amp;resultsidentifier=MMKB08:000213967:mpeg21:a0013&amp;rowid=10"" class=""search-result__link""><h2 class=""search-result__heading"">                                Jacob Andziefz Sael is defe weke met het                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2230-06-1635%22%29&amp;coll=ddd"" class=""metadata__details-link"">30-06-1635</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=MMKB08:000213967:mpeg21:a0013&resultsidentifier=MMKB08:000213967:mpeg21:a0013&rowid=10	30 Jun 1635	re Sp prize brought or to be brought with 60 loads logwood	[no headline] Door [Voor?] dese Stadt is dese weeck ghearriveert 't Jacht de Brack / mede brenghende een Spaensche Prijse/ gheladen met 60 Last Campesy-hout/ 4 Balen met Consenillie Campesy / eenighe Suyckeren ende Huyden.	
