Table 1
	CODE	SERIAL	LINK	DATE	NOTE	EXTRACT	
	"<ul><li><article data-identifier=""MMKB08:000213369:mpeg21:a0009"" data-metadata=""{&quot;title&quot;:&quot;Demijle van Oberften Carpenfon met vele&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;07-10-1628&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213369:mpeg21:a0009&quot;}"" data-coll=""ddd"" class=""search-result search-result--first-result search-result--minimal-view"" id=""rowid_1"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;query=hondu%2A&amp;coll=ddd&amp;redirect=true&amp;sortfield=date&amp;page=1&amp;maxperpage=50&amp;identifier=MMKB08:000213369:mpeg21:a0009&amp;resultsidentifier=MMKB08:000213369:mpeg21:a0009&amp;rowid=1"" class=""search-result__link""><h2 class=""search-result__heading"">                                Demijle van Oberften Carpenfon met vele                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2207-10-1628%22%29&amp;coll=ddd"" class=""metadata__details-link"">07-10-1628</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&query=hondu%2A&coll=ddd&redirect=true&sortfield=date&page=1&maxperpage=50&identifier=MMKB08:000213369:mpeg21:a0009&resultsidentifier=MMKB08:000213369:mpeg21:a0009&rowid=1	7 Oct 1628	not translated as of 28 JULY 2022 possibly re arrival fm WI of two ships which had been or were with Capt P Adriaenszoon	[no headline] Dese weke zijn alhier ghearriveert eenighe Schepen die met den Commandeur P. Adriaensz na de West-Indien gheweest zijn / welcke den vijsden Julij ontrent de Hondure in 't ghesichte rreghen [treghen?] twee Gallioenen ende twee Barcken/ waer op hy alles bysettede om deselve t' achterhalen [achterbalen?] / maer alsoose beter bezeyit waren/ ontlieliepen sy 't.	
	"<li><article data-identifier=""MMKB08:000213427:mpeg21:a0009"" data-metadata=""{&quot;title&quot;:&quot;Zedert dat den Admirael Pater, met bijne bij&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;17-11-1629&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213427:mpeg21:a0009&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_2"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;query=hondu%2A&amp;coll=ddd&amp;redirect=true&amp;sortfield=date&amp;page=1&amp;maxperpage=50&amp;identifier=MMKB08:000213427:mpeg21:a0009&amp;resultsidentifier=MMKB08:000213427:mpeg21:a0009&amp;rowid=2"" class=""search-result__link""><h2 class=""search-result__heading"">                                Zedert dat den Admirael Pater, met bijne bij                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2217-11-1629%22%29&amp;coll=ddd"" class=""metadata__details-link"">17-11-1629</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&query=hondu%2A&coll=ddd&redirect=true&sortfield=date&page=1&maxperpage=50&identifier=MMKB08:000213427:mpeg21:a0009&resultsidentifier=MMKB08:000213427:mpeg21:a0009&rowid=2	17 Nov 1629	not translated as of 28 JULY 2022 possibly re Adm Pater in WI	"[no headline] Zedert dat den Admirael Pater , met sijne by hebbende Vlote van 13. Schepen / in West-Indien geweest is/ om eenigh goaet avontuer se [fe?] becomen / zijn gheen Schepen van Nova Spaengien ofte Honduras t'zeyl ghegaen/ door 't welcke hy de voorsz Custe (te meer alsoo de Winter op handt quam) heest verlaten / ende is inde Canael van Bahama gecomen/ alwaer hem gerescontreert zijn 12. Schepen/ uyt dese Landen voor eenige maenden t' zeyl ghegaen/ met allerhande verversinghe/ met dewelcke hy noch in Zee ghebleven is ; ende heest 9. van sijne Schepen in September na dese Landen ghesonden / waer af het Schip de Princesse in Zeelandt ghearriveert is / d' andere werden alle daghen verwacht / mede brenghende een parthye Suyckeren/Huyden ende andere Waren/die sy hier ende daer verovert hebben; is alsoo den voorsz Admirael met noch 16. Schepen in Zee."	
	"<li><article data-identifier=""ddd:010555061:mpeg21:a0005"" data-metadata=""{&quot;title&quot;:&quot;Wt Berghen op den Zoom den 22. dito.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;25-05-1630&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;830620397&quot;,&quot;objectlevelId&quot;:&quot;ddd:010555061:mpeg21:a0005&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_3"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;query=hondu%2A&amp;coll=ddd&amp;redirect=true&amp;sortfield=date&amp;page=1&amp;maxperpage=50&amp;identifier=ddd:010555061:mpeg21:a0005&amp;resultsidentifier=ddd:010555061:mpeg21:a0005&amp;rowid=3"" class=""search-result__link""><h2 class=""search-result__heading"">                                Wt Berghen op den Zoom den 22. dito.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22830620397%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2225-05-1630%22%29&amp;coll=ddd"" class=""metadata__details-link"">25-05-1630</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&query=hondu%2A&coll=ddd&redirect=true&sortfield=date&page=1&maxperpage=50&identifier=ddd:010555061:mpeg21:a0005&resultsidentifier=ddd:010555061:mpeg21:a0005&rowid=3	25 May 1630	not translated as of 28 JULY 2022 possibly re Sp prize ship brought to Flushing owned by Gov of Havana	"[no headline] Den 15. deses is tot Vlissingen inghebracht door een Avonturier een Barcque van advijs/ gheladen met Huyden/ Taback/ Gember ende andere Coopmanschappen/ met noch een Priester eñ Capiteyn / welcke 2000. Pistoletten by hen hadden ; dese Barcque is van den Gouverneur van d' Havana (alwaer twee Schepen van Hondura met Victualie ende eenige Indigo gecomen waren) afghesonen den 27. Februar. met Brieven aen den Coninck van Spaengien/ als mede met Brieven uyt Peru, Mexico ende andere plactsen [plaetsen?] / welcke alle in handen van de Ed. Heeren de Bewinthebberen der West-Indische Compagnie in Zeelandt ghelevert ende ghetranslateert zijn ; uyt welckemen verstaet dat den voorsz Gouverneur aen den Coninck advijseert/dat hy schrijvens van Don Frederico uyt Cartageno ontsangen hadde/in dewelcke hy den sleckten staet van sijn Vlote verhaelt / [para continues]"	
	"<li><article data-identifier=""ddd:010759229:mpeg21:a0005"" data-metadata=""{&quot;title&quot;:&quot;Wt Berghen op den Zoom den 22. dito.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;25-05-1630&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;830620397&quot;,&quot;objectlevelId&quot;:&quot;ddd:010759229:mpeg21:a0005&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_4"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;query=hondu%2A&amp;coll=ddd&amp;redirect=true&amp;sortfield=date&amp;page=1&amp;maxperpage=50&amp;identifier=ddd:010759229:mpeg21:a0005&amp;resultsidentifier=ddd:010759229:mpeg21:a0005&amp;rowid=4"" class=""search-result__link""><h2 class=""search-result__heading"">                                Wt Berghen op den Zoom den 22. dito.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22830620397%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2225-05-1630%22%29&amp;coll=ddd"" class=""metadata__details-link"">25-05-1630</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&query=hondu%2A&coll=ddd&redirect=true&sortfield=date&page=1&maxperpage=50&identifier=ddd:010759229:mpeg21:a0005&resultsidentifier=ddd:010759229:mpeg21:a0005&rowid=4	25 May 1630	ditto	ditto	
	"<li><article data-identifier=""MMKB08:000213540:mpeg21:a0008"" data-metadata=""{&quot;title&quot;:&quot;Wt Antwerpen den 17. dito.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;23-11-1630&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213540:mpeg21:a0008&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_5"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;query=hondu%2A&amp;coll=ddd&amp;redirect=true&amp;sortfield=date&amp;page=1&amp;maxperpage=50&amp;identifier=MMKB08:000213540:mpeg21:a0008&amp;resultsidentifier=MMKB08:000213540:mpeg21:a0008&amp;rowid=5"" class=""search-result__link""><h2 class=""search-result__heading"">                                Wt Antwerpen den 17. dito.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2223-11-1630%22%29&amp;coll=ddd"" class=""metadata__details-link"">23-11-1630</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&query=hondu%2A&coll=ddd&redirect=true&sortfield=date&page=1&maxperpage=50&identifier=MMKB08:000213540:mpeg21:a0008&resultsidentifier=MMKB08:000213540:mpeg21:a0008&rowid=5	23 Nov 1630	not translated as of 28 JULY 2022 possibly re Adm Pieter Adriaensz between Havana and Hondura	"[no headline] De Schepen van de Ed. Veeren Bewindt hebberen der West-Indische Compagnie in dese Landen ghearriveert/ refereren dat de Schpen / onder den Admirael Pieter Adriaensz, tusschen d'Havana ende d'Hondura, hebben gherescontreert drie groote Schepen met een Jacht/ daer sy den Admirael van in brandt schoten/ die met alle 't Volck in de locht gevlogen is ; een ander sich vermeestert siende/ heeft [heest?] het Cruyt in brandt ghesteken ende sich laten springhen ; de derde om sich te salveren is gestrandt ende heeft alle sijn Volck te lande gheset / ende baerna [vaerna?] het Schip met de Goederen in brandt ghesteken; 't Jacht ofte Advijs Barcke ist ontcomen. Men houdt voor seker dat het de Schepen van d'Hondura gheweest zijn/ daer van men breeder tijdinghe met den voorsz Admirael / die dagheitjcks verwacht wordt / hooren sal."	
	"<li><article data-identifier=""ddd:010926715:mpeg21:a0001"" data-metadata=""{&quot;title&quot;:&quot;SPANGIEN.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Oprechte Haerlemsche courant&quot;,&quot;subtitle&quot;:&quot;16-10-1666&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;841198969&quot;,&quot;objectlevelId&quot;:&quot;ddd:010926715:mpeg21:a0001&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_6"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;query=hondu%2A&amp;coll=ddd&amp;redirect=true&amp;sortfield=date&amp;page=1&amp;maxperpage=50&amp;identifier=ddd:010926715:mpeg21:a0001&amp;resultsidentifier=ddd:010926715:mpeg21:a0001&amp;rowid=6"" class=""search-result__link""><h2 class=""search-result__heading"">                                SPANGIEN.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22841198969%22%29&amp;coll=ddd"" class=""metadata__details-link"">Oprechte Haerlemsche courant</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2216-10-1666%22%29&amp;coll=ddd"" class=""metadata__details-link"">16-10-1666</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	Oprechte Haerlemsche courant	https://www.delpher.nl/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&query=hondu%2A&coll=ddd&redirect=true&sortfield=date&page=1&maxperpage=50&identifier=ddd:010926715:mpeg21:a0001&resultsidentifier=ddd:010926715:mpeg21:a0001&rowid=6	16 Oct 1666	re Sp Hon ship to Cadiz and 5 Dutch ships [near Cadiz? near Hon ship?]	CAdix den 8 September. Hier is een Schip van de Honduras gearriveert. 5 Nederlandtse Schepen/ met veele sijne Waren/leggen vaerdigh omme nae Indien te loopen. Onse Vloot kruyst op de Portugijsse Vloot van Brasil.	
	"<li><article data-identifier=""ddd:011014571:mpeg21:a0001"" data-metadata=""{&quot;title&quot;:&quot;De Madrid le 22 Septembre.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Gazette ordinaire d`Amsterdam&quot;,&quot;subtitle&quot;:&quot;18-10-1666&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;303440112&quot;,&quot;objectlevelId&quot;:&quot;ddd:011014571:mpeg21:a0001&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_7"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;query=hondu%2A&amp;coll=ddd&amp;redirect=true&amp;sortfield=date&amp;page=1&amp;maxperpage=50&amp;identifier=ddd:011014571:mpeg21:a0001&amp;resultsidentifier=ddd:011014571:mpeg21:a0001&amp;rowid=7"" class=""search-result__link""><h2 class=""search-result__heading"">                                De Madrid le 22 Septembre.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22303440112%22%29&amp;coll=ddd"" class=""metadata__details-link"">Gazette ordinaire d'Amsterdam</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2218-10-1666%22%29&amp;coll=ddd"" class=""metadata__details-link"">18-10-1666</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	Gazette ordinaire d`Amsterdam	https://www.delpher.nl/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&query=hondu%2A&coll=ddd&redirect=true&sortfield=date&page=1&maxperpage=50&identifier=ddd:011014571:mpeg21:a0001&resultsidentifier=ddd:011014571:mpeg21:a0001&rowid=7	18 Oct 1666	re Sp Hon ship to Cadiz and 5 merchant Dutch ships near Cadiz destined for WI	"De Madrid le 22 Septemb. [para begins] On écrit de Cadix qu'il y a 5 vaiss. Flamans de prets chargés de quantité de riches marchandises destinées pour les Indes, & qu'il y est arrivé un vaiss. des Honduras. Nôtre Flote croise sur celle que les Portugais attandent du Bresil."	
	"<li><article data-identifier=""ddd:010900263:mpeg21:a0002"" data-metadata=""{&quot;title&quot;:&quot;SPANGIEN.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Oprechte Haerlemsche courant&quot;,&quot;subtitle&quot;:&quot;13-11-1666&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;841198969&quot;,&quot;objectlevelId&quot;:&quot;ddd:010900263:mpeg21:a0002&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_8"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;query=hondu%2A&amp;coll=ddd&amp;redirect=true&amp;sortfield=date&amp;page=1&amp;maxperpage=50&amp;identifier=ddd:010900263:mpeg21:a0002&amp;resultsidentifier=ddd:010900263:mpeg21:a0002&amp;rowid=8"" class=""search-result__link""><h2 class=""search-result__heading"">                                SPANGIEN.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22841198969%22%29&amp;coll=ddd"" class=""metadata__details-link"">Oprechte Haerlemsche courant</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2213-11-1666%22%29&amp;coll=ddd"" class=""metadata__details-link"">13-11-1666</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	Oprechte Haerlemsche courant	https://www.delpher.nl/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&query=hondu%2A&coll=ddd&redirect=true&sortfield=date&page=1&maxperpage=50&identifier=ddd:010900263:mpeg21:a0002&resultsidentifier=ddd:010900263:mpeg21:a0002&rowid=8	13 Nov 1666	re Sp Hon ship to St Lucar with news of Jamaican attack on New Granada	"Madrid den 21 October. Met een Spaens Schip, komende vande Honduras in West-Indien, ghekomen tot St. Lucar, is Tijdinghe ghekomen, dat d'Engelsse van Iamaica met 30 Schepen , doch daer onder veel Vaertuygh, na de Provintie van Nicaragua getogen, alwaer sy de Reviere St. Ian by de 50 Mijlen opgevaren zijn, alwaer sy de Stadt Nieuw Granada met d'omlegghende Plaetsen hebben uytgeplondert, werpende voorts yets op om een Sterckte te maecken; doch dat daer in 't korte weder waren uytgedreven , en ghedwongen waren t' Scheep te gaen, mede nemende haren Buyt; dit souden d'Engelse in 't Iaer 1664 al in 't sin gehad hebben. Uyt Zalee heeftmen, dat de Sant met 40000 Paerden in aentocht was, tegen den Prins van Tafilet, die Gayland ten meestendeel heeft t'ondergebracht, en men ghelooft oock om gedachten Gaylandt voort te bederven. De Portugijsse Troupen [para continues]"	
	"<li><article data-identifier=""ddd:010926633:mpeg21:a0006"" data-metadata=""{&quot;title&quot;:&quot;D`Amsterdam le 17 Ianvier.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Gazette ordinaire d`Amsterdam&quot;,&quot;subtitle&quot;:&quot;17-01-1667&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;303440112&quot;,&quot;objectlevelId&quot;:&quot;ddd:010926633:mpeg21:a0006&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_9"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;query=hondu%2A&amp;coll=ddd&amp;redirect=true&amp;sortfield=date&amp;page=1&amp;maxperpage=50&amp;identifier=ddd:010926633:mpeg21:a0006&amp;resultsidentifier=ddd:010926633:mpeg21:a0006&amp;rowid=9"" class=""search-result__link""><h2 class=""search-result__heading"">                                D'Amsterdam le 17 Ianvier.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22303440112%22%29&amp;coll=ddd"" class=""metadata__details-link"">Gazette ordinaire d'Amsterdam</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2217-01-1667%22%29&amp;coll=ddd"" class=""metadata__details-link"">17-01-1667</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	Gazette ordinaire d`Amsterdam	https://www.delpher.nl/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&query=hondu%2A&coll=ddd&redirect=true&sortfield=date&page=1&maxperpage=50&identifier=ddd:010926633:mpeg21:a0006&resultsidentifier=ddd:010926633:mpeg21:a0006&rowid=9	17 Jan 1667	re [Dutch merchant?] ship fm Hon to Amsterdam which wasn't seized by Algerian pirates contrary to rumour	"D'Amsterdam le 17 Ianvier. [one para] [new para] Le Capit. van Veen est a Terveer & dit que les Anglois ont pris ou brulé 3 de nos Fregates, & qui'l en a eu 2 Angloises a[ill]achées [avachées?] à son bord un sort [fort?] long temps, mais que sui [sur?] le soir il trouvamoyen de s'en dégager & arrivà le 12 [13?] à Terveer où il a renvoyé se blessés. Tous les Cabateriers one ordre de declarer tous les jours à la Maison de ville le nombre des étrangers qu'ils on chés eux. Il n'est pas vray que les Algeriens avent [ayent?] prisce Vaiss qui venoit de Honduras, comme le bruit en a couru. On rompt incessammen les glaces à l'entour de cête ville de peur de quelque surpise dont on a esté menacé. On écrit de Venise que [para continues]"	
	"<li><article data-identifier=""ddd:010926740:mpeg21:a0007"" data-metadata=""{&quot;title&quot;:&quot;SPANGIEN.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Oprechte Haerlemsche courant&quot;,&quot;subtitle&quot;:&quot;19-02-1667&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;841198969&quot;,&quot;objectlevelId&quot;:&quot;ddd:010926740:mpeg21:a0007&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_10"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;query=hondu%2A&amp;coll=ddd&amp;redirect=true&amp;sortfield=date&amp;page=1&amp;maxperpage=50&amp;identifier=ddd:010926740:mpeg21:a0007&amp;resultsidentifier=ddd:010926740:mpeg21:a0007&amp;rowid=10"" class=""search-result__link""><h2 class=""search-result__heading"">                                SPANGIEN.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22841198969%22%29&amp;coll=ddd"" class=""metadata__details-link"">Oprechte Haerlemsche courant</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2219-02-1667%22%29&amp;coll=ddd"" class=""metadata__details-link"">19-02-1667</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	Oprechte Haerlemsche courant	https://www.delpher.nl/nl/kranten/view?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&query=hondu%2A&coll=ddd&redirect=true&sortfield=date&page=1&maxperpage=50&identifier=ddd:010926740:mpeg21:a0007&resultsidentifier=ddd:010926740:mpeg21:a0007&rowid=10	19 Feb 1667	re Sp Hon ship to Cadiz with news of Eng fort building or raids in Hon	"Cadix den 16 January. Alhier zijn verscheyde Schepen gearriveert; onder alle een van de Honduras , en een ander van de Caraques, geladen met Taback , Huyden en Indigo; met de selve komt Tydinge, dat de Engelsse voor hebben, by de Provintie van Guattimalo, een Fortresse te maecken, hebbende met 38 Schepen, kleyn Vaertuygh, die geheele Kust geplondert. In Marikaibo hebben sy den gouverneur, en een deel ander Volck doodt-geslagen, treckende t'Landtwaert in, roovende en plonderende , niemant verschonende , maer alles doodende, wat haer ontmoete."	
