Table 1
	CODE	SERIAL	LINK	DATE	NOTE	EXTRACT	
		A continuation of all the principall occurences which hath happened to the Leaguers …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/continuation-all-principall-occurrences-which/docview/2248545132/se-2?accountid=11311	"December 1, 1625"	re privateer ships fm Brazil to Netherlands bringing seized brasiletto	"Out of the Campe of the Prince of Orange, at Made on the 18. of October. [vars para] The foure ships which arriued here lately, comming from the Bay of Todos los Sanctos, brought with them these following prisoners and prises: namely, [list begins] 	59. Teeth of Oliphants. 1182. Pieces of Brasil-Wood. 4525. Oxen Hides. [list ends]"	
		"A relation of the King of Svveden, his happie and incomparable successe and victories …"	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/relation-king-svveden-his-happie-incomparable/docview/2248592752/se-2?accountid=11311	"February 18, 1631"	seems false match fm quick skim		
		A relation of the late occurrents which haue happened in Christendome …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/october-15-1622-relation-late-occurrents-which/docview/2240897889/se-2?accountid=11311	"October 15, 1622"	seems false match fm quick skim		
		A remonstration of the French subiects …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/august-ii-1622-remonstration-french-subiects/docview/2264264521/se-2?accountid=11311	"August 2, 1622"	seems false match fm quick skim		
		A tru[e] relati[on] of the pro[cee]dings of the Bauarian and Spa[nish] forces before the city Heydelburgh …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/tru-e-relati-on-pro-cee-dings-bauarian-spa-nish/docview/2248542119/se-2?accountid=11311	"July 11, 1622"	re Brazil		
		A true relation of the affaires of Europe …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/september-1-numb-42-continuation-our-weekely/docview/2240899330/se-2?accountid=11311	"September 1, 1632"	seems false match fm quick skim		
		A true relation of the affaires of Europe …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/ianuary-12-numb-6-continuation-our-vveekely/docview/2240868471/se-2?accountid=11311	"January 12, 1632"	seems false match fm quick skim		
		A true relation of the affaires of Europe …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/continuation-former-newes-three-great-inuasions/docview/2240873216/se-2?accountid=11311	"September 9, 1624"	re Brazil		
		A true relation of the affaires of Europe …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/4-octob-1622-true-relation-affaires-europe/docview/2264225511/se-2?accountid=11311	"October 4, 1622"	seems false match fm quick skim		
		A true relation of the affaires of Europe …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/14-september-relation-many-memorable-passages/docview/2264225722/se-2?accountid=11311	"September 14, 1622"	re Brazil		
		A true relation of the affaires of Europe …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/ninth-september-1622-count-mansfields-proceedings/docview/2248569067/se-2?accountid=11311	"September 9, 1622"	seems false match fm quick skim		
		A true relation of the affaires of Europe …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/late-proceedings-all-troubled-parts-christendome/docview/2248520579/se-2?accountid=11311	"June 25, 1622"	seems false match fm quick skim		
		A true report of all speciall passages of note lately happened in the Ile of Ree …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/true-report-all-speciall-passages-note-lately/docview/2264179471/se-2?accountid=11311	"November 1, 1627"	seems false match fm quick skim		
		Briefe abstracts out of diuerse letters of trust Relating the newes of this present weeke …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/nouemb-28-numb-9-briefe-abstracts-out-diuerse/docview/2248558113/se-2?accountid=11311	"November 28, 1622"	seems false match fm quick skim		
		Corrant out of Italy …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/corante-weekely-newes-italy-germany-hungary/docview/2240941849/se-2?accountid=11311	"September 30, 1621"	seems false match fm quick skim		
		Corrant out of Italy …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/courant-out-italy-germany-c/docview/2240913816/se-2?accountid=11311	"September 18, 1621"	seems false match fm quick skim		
		Corrant out of Italy …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/courant-out-italy-germany-c/docview/2264222287/se-2?accountid=11311	"September 6, 1621"	seems false match fm quick skim		
		Corrant out of Italy …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/corante-nevves-italy-germany-hungaria-polonia/docview/2240945326/se-2?accountid=11311	"August 10, 1621"	seems false match fm quick skim		
		Corrant out of Italy …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/courant-newes-out-italy-germany-bohemia-poland-c/docview/2240945311/se-2?accountid=11311	"July 9, 1621"	seems false match fm quick skim		
		Corrant out of Italy …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/courant-out-italy-germany-c/docview/2240943995/se-2?accountid=11311	"April 9, 1621"	seems false match fm quick skim		
		Corrant out of Italy …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/corrant-out-italy-germany-c/docview/2240938293/se-2?accountid=11311	"March 31, 1621"	seems false match fm quick skim		
		Corrant out of Italy …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/corrant-out-italy-germany-c/docview/2240934133/se-2?accountid=11311	"January 4, 1621"	seems false match fm quick skim		
		Corrant out of Italy …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/corrant-out-italy-germany-c/docview/2240938163/se-2?accountid=11311	"December 23, 1620"	seems false match fm quick skim		
		"Mercurius cambro-Britannus, the Brittish mercury, or, The Welch diurnall communicating remarkable intelligences and true newes to awle the whole kingdome ..."	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/mercurius-cambro-britannus-brittish-mercury-welch/docview/2248538379/se-2?accountid=11311	"January 6, 1644"	seems false match fm quick skim		
		"Mercurius militaris, or, Times only truth-teller Faithfully undeceiving the expectations of the vulgar, (who are daily abused by a crew of brainlesse and brazen-faced news-scriblers (whether royall, martiall, or Parliamentall) who have sold themselves for a penny to doe wickedly, relating the most perfect transactions, both forraigne and domestick, collected with much labour from divers particulars, and here presented in one bundle to the reader."	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/mercurius-militaris-times-only-truth-teller/docview/2240900845/se-2?accountid=11311	"May 22, 1649"	seems false match fm quick skim		
		More newes of the Duke of Brunswick …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/july-22-numb-41-more-newes-duke-brunswick/docview/2264233229/se-2?accountid=11311	"July 22, 1623"	seems false match fm quick skim		
		Newes from Poland …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/newes-poland-wherein-is-truly-inlarged-occasion/docview/2248550227/se-2?accountid=11311	1621	seems false match fm quick skim		
		"Occvrrences from Ireland ... being a copy of a letter from Dublin / by an officer of the regiment commanded by Colonell Munke ; relating all the severall passages of the English forces in those parts against the rebels ; also relieving of divers castles and the bringing in of the heads of the Lord Cunboynes brother, Colonell Berne and Colonell Butler ; with divers other matters of note."	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/occvrrences-ireland-being-copy-letter-dublin/docview/2264197198/se-2?accountid=11311	1642	seems false match fm quick skim		
		The Continuation of our weekly newes …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/continuation-our-weekely-intelligence-since-22/docview/2264224829/se-2?accountid=11311	"November 29, 1631"	seems false match fm quick skim		
		The Continuation of our weekly newes …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/iune-25-numb-31-continuation-our-weekly-nevves/docview/2240902677/se-2?accountid=11311	"June 25, 1631"	re Brazil		
		The Continuation of our weekly newes …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/march-14-numb-23-continuation-our-weekly-newes-18/docview/2264212856/se-2?accountid=11311	"March 14, 1631"	re Brazil ie Dutch fleet headed to Brazil	"[From Dort 13. of Iune.] [vars para] Wee have intelligence from Antwerpe with the last letters, that in the beginning of May the fleet of 25 ships at Lisbona is set sayle, among these are 15 Gallioons with 4000, some suppose they are gone toward Calis Mal•• ioyne themselves to the Castilian armado, others are 〈…〉 that they are bound for Cabo-verde, there to expect 〈◊〉 rest, and so to passe forward to Brasill."	
		The Continuation of our weekly newes …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/continuation-our-weekly-newes-containing-these/docview/2264190206/se-2?accountid=11311	"November 22, 1624"	re Brazil		
		The continuation of the forraine occurents ...	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/cent-3-numb-48-continuation-forraine-occurents-5/docview/2240938085/se-2?accountid=11311	"January 11, 1641"	re Brazil ie [merchant Dutch?] ships Great Horn and Fame fm Brazil to Plimmouth [Netherlands]	"Another [Amsterdam] of the 6.16. of Decem. [one para] [new para] The ship called the Hope, belonging to the West-India Company comming from Fernambouck, which was expected here many dayes, and many feared, that it was cast away, is safely arrived here this weeke. [new para] The ship Great Horn and the Fame comming likewise from Brazill lye in the Harbour at Plimmouth, and the ship called the Salt Hill in Valmouth, some of our men of warre are gone thitherwards to conduct them home together with the French Fleet."	
		The continuation of the forraine occurents ...	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/february-8-numb-10-continuation-our-forraine/docview/2248548576/se-2?accountid=11311	"February 8, 1632"	seems false match fm quick skim		
		The continuation of the most remarkable occurences of newes …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/july-16-numb-9-continuation-most-remarkable/docview/2264208679/se-2?accountid=11311	"July 16, 1630"	re Brazil	"From Antwerp 29 Iune. [vars para] From Calis Malis is gone to Sea and set saile, the ordi•ary F•eet of Terra firma. Of 12 Gallions, and two sw•f• pinnaces. The Fleet of Noua Spania should follow also this moneth, and returne againe in Nouember, Letters certifie from Madril that as soone as Don Frederico shall be arr•ued, he shall againe depart for the Brasiles. To this end Spaine shall set forth 80 Ships, and the Dunkers, Portugals and Biscayers 40. Concerning which we shall in time be made acquanted."	
		The continuation of the most remarkable occurences of newes …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/july-16-numb-9-continuation-most-remarkable/docview/2264208679/se-2?accountid=11311	"July 16, 1630"	re New Spain fleet loaded with braziletto and logwood	"[From Antwerp 29 Iune.] [vars para] Relation of the gold and siluer, with the seuerall Merchandizes, as they haue been Registred; and are said to bee in the Fleet of Noua Hispania, vnder the command of Generall Don Hieronimo, comes translated out of the Spanish. [vars items] 251 peeces of seuerall costly and precious Commodities. 3278 Quintals of Brasil-wood. 38•9 Q••ntal• of Campethe-wood. 4000 Arobes of Sugar. [itemised list continues]"	
		"The metropolitan nuncio, or, Times only truth-teller, Faithfully undeceiving the expectations of the vulgar, who are daily abused by a crew of brainlesse and brazen-faced news-scriblers (whether royall, martiall, or Parliamentall) who have sold themselves for a penny to do wickedly, relating the most perfect transactions, both forraign and domestick, collected with much labour from divers particulars, and here presented in one bundle to the reader."	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/metropolitan-nuncio-times-only-truth-teller/docview/2240875701/se-2?accountid=11311	"June 6, 1649"	seems false match fm quick skim		
		The nevvs for this vveek …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/century-3-numb-20-nevvs-this-vveek-norimberg/docview/2248501117/se-2?accountid=11311	"April 23, 1640"	re Brazil ie unspecified news from Brazil	"The Nevvs for this week from Norimberg, Frankford and Holland. Wherein (amongst other things) is contained, these remarkable passages following: The great preparation of the King of Poland against the Turke. Some things done by the French in Italie. The Weymarish have pillaged all the Merchants goods of Frankford, which were going to Collen. The retreat of Banniers Army out of Bohemia, towards Misnia, with his slighting of the places he held there, and the feare they apprehend at Lipsick of his approach that way. Something from Brazil, and something from the low Countreys, and from France, and Denmark."	
		The nevvs for this vveek …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/century-3-numb-20-nevvs-this-vveek-norimberg/docview/2248501117/se-2?accountid=11311	"April 23, 1640"	re Brazil ie Adm Houtebeen in Cartagena and expectation of further news of this fm Brazil	"Amsterdam Decem. 19. 29. [vars para] From Rochel they write, that they have received newes there, that Houtebeen Admirall for the West India company in Holland, hath taken Cartagena, and obtainen in the harbour there, the whole Spanish plate fleet, the certainty hereof we must expect with the next ships that come from Brasil."	
