Table 1
							
	sheet	database	link	query	hits	note	
	Duta 29	M - Orange tagged local files	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/found scrap 1.2.numbers	"notes or url containing string “kb.nl"""	16 records with 52 matches within these	vars not lay serials	
	^^^	P - Delpher kraten	https://www.delpher.nl/nl/kranten/results?coll=dddtitel&query=&cql%5B0%5D=%28date+_lte_+%2231-12-1639%22%29&redirect=true&sortfield=date	newspaper issues to 31 Dec 1639	827 records [issues] found	all lay serials	
	^^^	P - Delpher kraten	https://www.delpher.nl/nl/kranten/results?coll=ddd&query=campe%2A&cql%5B0%5D=%28date+_lte_+%2231-12-1639%22%29&redirect=true&sortfield=date	newspaper issues to 31 Dec 1639 with campe*	26 records found	all lay serials	
	^^^	P - Delpher kraten	https://www.delpher.nl/nl/kranten/results?query=campe*+not+campen&page=1&sortfield=date&cql%5B%5D=(date+_lte_+%2231-12-1639%22)&coll=ddd	newspaper issues to 31 Dec 1639 with campe* not campen	14 records found	all lay serials	
	Dutb 67	P - Delpher kraten	https://www.delpher.nl/nl/kranten/results?coll=ddd&query=campe%2A+not+campen+not+camper&cql%5B0%5D=%28date+_lte_+%2231-12-1669%22%29&redirect=true&sortfield=date	newspaper issues to 31 Dec 1669 with campe* not campen not camper	67 records found	all lay serials	
	Dutc 27	P - Delpher kraten	https://www.delpher.nl/nl/kranten/results?cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&query=hondu%2A&coll=ddd&redirect=true&sortfield=date&rowid=1	newspaper issues to 31 Dec 1669 with hondu*	27 records found	all lay serials	
	Dutd xxx	P - Delpher kraten	https://www.delpher.nl/nl/kranten/results?coll=ddd&query=hout&cql%5B0%5D=%28date+_gte_+%2201-01-1600%22%29&cql%5B1%5D=%28date+_lte_+%2231-12-1639%22%29&redirect=true&sortfield=date	newspaper issues to 31 Dec 1639 with hout	122 records found	all lay serials / inc vars false positive hits	
						SEARCH B* OR C* PROXIMAL TO HOUT	
	Dute 96	P - Delpher kraten	https://www.delpher.nl/nl/kranten/results?query=br*+and+hout&page=1&sortfield=date&cql%5B%5D=(date+_gte_+%2201-01-1600%22)&cql%5B%5D=(date+_lte_+%2231-12-1639%22)&coll=ddd	newspaper issues to 31 Dec 1639 with br* and hout	96 records found		
		P - Gallica presse	https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=text%20all%20%22bois%22%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(gallicapublication_date%3E=%221500/07/29%22%20and%20gallicapublication_date%3C=%221639/12/31%22)%20sortby%20dc.date/sort.ascending&suggest=10&keywords=bois	newspaper titles to 31 Dec 1639 with bois in text inexact matches	3 titles found with vars matches within these	ie Gazette (Paris. 1631) / Recueil des oeuvres qui ont remporté les prix sur le Puy de l'Immaculée Conception de la Vierge.. / ..Centurie des questions traités ez conférences du Buraeu d'adresse.. / possibly search Le Courrier universel (Rouen)	
	Frea 86	P - Gallica presse	https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=50&page=1&collapsing=false&exactSearch=false&query=text%20all%20%22bois%22%20and%20%28dc.type%20all%20%22fascicule%22%29%20and%20%28gallicapublication_date%3C%3D%221649%2F12%2F31%22%29%20sortby%20dc.date%2Fsort.ascending	newspaper issues to 31 Dec 1649 with bois in text inexact matches	86 records found		
	Freb 3	P - Gallica presse	https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=false&version=1.2&query=((((((text%20all%20%22hondura%22%20or%20text%20all%20%22hondure%22%20)%20or%20text%20all%20%22campeche%22%20)%20or%20text%20all%20%22campech%22%20)%20or%20text%20all%20%22honduras%22%20)%20or%20text%20all%20%22nicaragua%22%20)%20or%20text%20all%20%22nicarag%22%20)%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(gallicapublication_date%3C=%221669/12/31%22)%20sortby%20dc.date/sort.ascending&suggest=10&keywords=hondura%20hondure%20campeche%20honduras%20nicaragua	"newspaper issues to 31 Dec 1669 with vars geographic terms in text inexact matches [hondura -hondura
-hondure -hondure
-campeche -campeche
-campech -campech
-honduras -honduras
-nicaragua -nicaragua -nicarag]"	3 records found		
	Engb 37	P - ProQuest - EEBO Early English Books Online - Historical Periodicals	https://www.proquest.com/eebo/results/DEF0AE2E1C09471FPQ/1?accountid=11311	periodical issues to 31 Dec 1669 with vars terms in text in inexact matches [bras* OR braz* OR bres* OR brez*]	37 records found	vars false matches	
	Enga 1	P - ProQuest - EEBO Early English Books Online - Historical Periodicals	https://www.proquest.com/eebo/results/23F2B9EA46A542C1PQ/1?accountid=11311	"periodical issues to 31 Dec 1669 with query (campe* OR canpe* OR campi* OR canpi*) NOT ""campe """	1 record found		
	^^^	P - ProQuest - EEBO Early English Books Online - Historical Periodicals	^^^	periodical issues to 31 Dec 1700 with query hondur* OR ondur*	0 records found	no results similarly for guatemala nor yucatan and their variants	
	Frec ???	"P - HathiTrust - Mercure François - vols 8, 10, 11, 13-18, 20-25"	http://id.lib.harvard.edu/alma/990072948650203941/catalog	^^^	^^^	"vol 8 no hits for bois, campeche, honduras, yucatan and variants / vol 10 one hit [p242 ""bois de Brasil""]"	
	^^^	P - Gallica - Mercure François - vols 1-24	http://ark.bnf.fr/ark:/12148/cb32814360w	^^^	^^^	no OCR search as of 29 JULY 2022 / NOT QUERIED ON 29 JULY 2022	
