Table 1
ID	CODE	OID	OAID	FORM	PRIM	DATES	NAMES	TITLES	DESC	NOTES	URL	URL	URL	DIG
	"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=1;;;TO=^^^;;;FORM=L;;;PRIM=^^^;;;DATE=1656;;;DATE=2022;;;TITLE=Oprechte Haerlemsche Courant;;;DESC=issue 1 to ^^^ of ^^^;;;IMPRINT=^^^;;;CAT 0=^^^;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=Continues Weeckelycke Courante van Europa / Continued by Haarlems Dagblad to 2022 / See ""Cadix den 16 January” in no 8 for 19 Feb 1667 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010926740:mpeg21:a0007, https://resolver.kb.nl/resolve?urn=MMNHA02:164940015:mpeg21:a00007] / See “Vlissingen den 24 April” in no 17 for 28 April 1668 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164940183:mpeg21:a00006] / See “Amsterdam den 5 December” in no 19 for 6 Dec 1668 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164940278:mpeg21:a00006] / See “Amsterdam den 6 Fekruary” in no 6 for 7 Feb 1669 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010926810:mpeg21:a0006] / See “Cadix den 13 Ianuary” in no 7 for 14 Feb 1669 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164941020:mpeg21:a00002] / See “Lissabon den 5 Maert” in no 15 for 11 April 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010926658:mpeg21:a0001, https://resolver.kb.nl/resolve?urn=MMNHA02:164941043:mpeg21:a00001, https://resolver.kb.nl/resolve?urn=MMNHA02:164941043:mpeg21:a00001] / See “Amsterdam den 12 April” in no 15 for 13 April 1669 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164941044:mpeg21:a00006] / See “Parijs den 5 September” in no 37 for 13 Sep 1670 pp 1-2 [https://resolver.kb.nl/resolve?urn=ddd:010926947:mpeg21:a0003, https://resolver.kb.nl/resolve?urn=MMNHA02:164941264:mpeg21:a00003] / See “Londen den 28 Iuly” in no 31 for 4 Aug 1671 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164942093:mpeg21:a00004] / See “Amsterdam den 17 April” in no 16 for 18 April 1673 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010680289:mpeg21:a0008] / See “Londen den 2 Mey” in no 19 for 9 May 1673 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010927878:mpeg21:a0002] / See “De Ed: Mog: Heeren Raden ter Admiraliteyt tot Amsterdam” in no 38 for 19 Sep 1673 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927091:mpeg21:a0007, https://resolver.kb.nl/resolve?urn=MMNHA02:164943112:mpeg21:a00008] / See ""Rochel den 11 November” in 47 for 25 Nov 1673 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010680165:mpeg21:a0002] / See “Madrid den 6 Juny” in no 26 for 26 June 1674 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943232:mpeg21:a00002] / See “Vlissingen den 4 July” in no 28 for 10 July 1674 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943238:mpeg21:a00006] / See “Vlissingen den 18 July” in no 30 for 24 July 1674 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943244:mpeg21:a00006] / See ""Londen den 3 Augusti” in no 32 for 9 Aug 1674 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943251:mpeg21:a00005] / See “Vlissingen den 12 January” in no 3 for 15 Jan 1675 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164944007:mpeg21:a00005] / See “Duynkercken den 29 November” in no 49 for 3 Dec 1676 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927153:mpeg21:a0005] / See “St. Malo den 29 November” in no 50 for 10 Dec 1676 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927168:mpeg21:a0009, https://resolver.kb.nl/resolve?urn=MMNHA02:164944311:mpeg21:a00008] / See “Parijs den 8 September” in no 37 for 14 Sep 1679 pp 1-2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164946108:mpeg21:a00004];;;SOURCE=AN - 'campech of campeche of campesy of campel' search in Delpher - Kranten - to 31 Dec 1675;;;SURL=https://www.delpher.nl/nl/kranten/results?coll=ddd&query=campech+or+campeche+or+campesy+or+campel&cql%5B0%5D=%28date+_lte_+%2231-12-1675%22%29&redirect=true&sortfield=date;;;END###"	-^-	-^-	L	^^^	1656—2022	^^^	Oprechte Haerlemsche Courant	"issue 1 to ^^^ of ^^^, , , issue 1 to ^^^ of ^^^"	"Continues Weeckelycke Courante van Europa / Continued by Haarlems Dagblad to 2022 / See ""Cadix den 16 January” in no 8 for 19 Feb 1667 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010926740:mpeg21:a0007, https://resolver.kb.nl/resolve?urn=MMNHA02:164940015:mpeg21:a00007] / See “Vlissingen den 24 April” in no 17 for 28 April 1668 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164940183:mpeg21:a00006] / See “Amsterdam den 5 December” in no 19 for 6 Dec 1668 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164940278:mpeg21:a00006] / See “Amsterdam den 6 Fekruary” in no 6 for 7 Feb 1669 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010926810:mpeg21:a0006] / See “Cadix den 13 Ianuary” in no 7 for 14 Feb 1669 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164941020:mpeg21:a00002] / See “Lissabon den 5 Maert” in no 15 for 11 April 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010926658:mpeg21:a0001, https://resolver.kb.nl/resolve?urn=MMNHA02:164941043:mpeg21:a00001, https://resolver.kb.nl/resolve?urn=MMNHA02:164941043:mpeg21:a00001] / See “Amsterdam den 12 April” in no 15 for 13 April 1669 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164941044:mpeg21:a00006] / See “Parijs den 5 September” in no 37 for 13 Sep 1670 pp 1-2 [https://resolver.kb.nl/resolve?urn=ddd:010926947:mpeg21:a0003, https://resolver.kb.nl/resolve?urn=MMNHA02:164941264:mpeg21:a00003] / See “Londen den 28 Iuly” in no 31 for 4 Aug 1671 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164942093:mpeg21:a00004] / See “Amsterdam den 17 April” in no 16 for 18 April 1673 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010680289:mpeg21:a0008] / See “Londen den 2 Mey” in no 19 for 9 May 1673 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010927878:mpeg21:a0002] / See “De Ed: Mog: Heeren Raden ter Admiraliteyt tot Amsterdam” in no 38 for 19 Sep 1673 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927091:mpeg21:a0007, https://resolver.kb.nl/resolve?urn=MMNHA02:164943112:mpeg21:a00008] / See ""Rochel den 11 November” in 47 for 25 Nov 1673 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010680165:mpeg21:a0002] / See “Madrid den 6 Juny” in no 26 for 26 June 1674 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943232:mpeg21:a00002] / See “Vlissingen den 4 July” in no 28 for 10 July 1674 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943238:mpeg21:a00006] / See “Vlissingen den 18 July” in no 30 for 24 July 1674 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943244:mpeg21:a00006] / See ""Londen den 3 Augusti” in no 32 for 9 Aug 1674 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943251:mpeg21:a00005] / See “Vlissingen den 12 January” in no 3 for 15 Jan 1675 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164944007:mpeg21:a00005] / See “Duynkercken den 29 November” in no 49 for 3 Dec 1676 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927153:mpeg21:a0005] / See “St. Malo den 29 November” in no 50 for 10 Dec 1676 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927168:mpeg21:a0009, https://resolver.kb.nl/resolve?urn=MMNHA02:164944311:mpeg21:a00008] / See “Parijs den 8 September” in no 37 for 14 Sep 1679 pp 1-2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164946108:mpeg21:a00004] / "	^^^	^^^	^^^	^^^
	"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=1;;;TO=^^^;;;FORM=L;;;PRIM=^^^;;;DATE=1663;;;DATE=1792;;;TITLE=Gazette d’Amsterdam;;;DESC=issue 1 to ^^^ of ^^^;;;IMPRINT=^^^;;;CAT 0=https://resolver.kb.nl/resolve?urn=ddd:011014794:mpeg21:a0007;;;CAT 1=https://webggc.oclc.org/cbs/DB=2.37/XMLPRS=Y/PPN?PPN=376314095;;;CAT 2=^^^;;;AV=^^^;;;NOTE=See ""d'Amsterdam le 5. Septembre” in no 36 for 5 Sep 1675 p 4 [https://resolver.kb.nl/resolve?urn=ddd:011014794:mpeg21:a0007] / See “d’Amsterdam le 6 Decembre” in no ^^^ for 6 Dec 1668 p 4 [https://resolver.kb.nl/resolve?urn=ddd:011014630:mpeg21:a0008] / See “De Paris le 8 Septembre” in no ^^^ for 14 Sep 1679 pp 1-2 [https://resolver.kb.nl/resolve?urn=ddd:010965519:mpeg21:p001];;;SOURCE=AN - 'honduras of moskiet of moustique of moskito of mosquito' search in Delpher - Kraten - to 31 Dec 1690;;;SURL=https://www.delpher.nl/nl/kranten/results?coll=ddd&query=honduras+or+muskiet+or+moustique+or+moskito+or+mosquito&cql%5B0%5D=%28date+_lte_+%2231-12-1690%22%29&redirect=true&sortfield=date;;;END###"	-^-	-^-	L	^^^	1663—1792	^^^	Gazette d’Amsterdam	"issue 1 to ^^^ of ^^^, , , issue 1 to ^^^ of ^^^"	"See ""d'Amsterdam le 5. Septembre” in no 36 for 5 Sep 1675 p 4 [https://resolver.kb.nl/resolve?urn=ddd:011014794:mpeg21:a0007] / See “d’Amsterdam le 6 Decembre” in no ^^^ for 6 Dec 1668 p 4 [https://resolver.kb.nl/resolve?urn=ddd:011014630:mpeg21:a0008] / See “De Paris le 8 Septembre” in no ^^^ for 14 Sep 1679 pp 1-2 [https://resolver.kb.nl/resolve?urn=ddd:010965519:mpeg21:p001] / "	https://resolver.kb.nl/resolve?urn=ddd:011014794:mpeg21:a0007	https://webggc.oclc.org/cbs/DB=2.37/XMLPRS=Y/PPN?PPN=376314095	^^^	^^^
	"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=1;;;TO=^^^;;;FORM=L;;;PRIM=^^^;;;DATE=1666;;;DATE=1673;;;TITLE=Gazette Ordinaire d'Amsterdam;;;DESC=issue 1 to ^^^ of ^^^;;;IMPRINT=^^^;;;CAT 0=https://webggc.oclc.org/cbs/DB=2.37/XMLPRS=Y/PPN?PPN=376308958;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=See ""D'Amsterdam le 17 Ianvier” in no 3 for 17 Jan 1667 p 4 [https://resolver.kb.nl/resolve?urn=ddd:010926633:mpeg21:a0006] / THIS ARTICLE POSSIBLY RE SP HONDURAS SHIP TO CADIZ, NOT ENG HON, ARRIVED SEP 1666 EG [https://resolver.kb.nl/resolve?urn=ddd:011014571:mpeg21:a0001] AND EG [https://resolver.kb.nl/resolve?urn=ddd:010926715:mpeg21:a0001], OR ARRIVED JAN 1667 EG [https://resolver.kb.nl/resolve?urn=ddd:010926740:mpeg21:a0007] 13 JUL 2022;;;SOURCE=AN - 'Honduras' search in Delpher - Kranten;;;SURL=https://www.delpher.nl/nl/kranten/results?query=honduras&page=1&sortfield=date&coll=ddd;;;END###"	-^-	-^-	L	^^^	1666—1673	^^^	Gazette Ordinaire d'Amsterdam	"issue 1 to ^^^ of ^^^, , , issue 1 to ^^^ of ^^^"	"See ""D'Amsterdam le 17 Ianvier” in no 3 for 17 Jan 1667 p 4 [https://resolver.kb.nl/resolve?urn=ddd:010926633:mpeg21:a0006] / THIS ARTICLE POSSIBLY RE SP HONDURAS SHIP TO CADIZ, NOT ENG HON, ARRIVED SEP 1666 EG [https://resolver.kb.nl/resolve?urn=ddd:011014571:mpeg21:a0001] AND EG [https://resolver.kb.nl/resolve?urn=ddd:010926715:mpeg21:a0001], OR ARRIVED JAN 1667 EG [https://resolver.kb.nl/resolve?urn=ddd:010926740:mpeg21:a0007] 13 JUL 2022 / "	https://webggc.oclc.org/cbs/DB=2.37/XMLPRS=Y/PPN?PPN=376308958	^^^	^^^	^^^
	RED;;;ID=S 756;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Wright D;;;NAME 0=Wright/van Dam;;;CITED=19;;;START 0=1621;;;STOP 0=1649;;;SIZE=2;;;UNITS=vols;;;NAME 1=Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Kemink en Zoon;;;PLACE 2=Utrecht;;;PLACE 3=Netherlands;;;START 1=1934;;;STOP 1=1935;;;NAME 3=xnp;;;NAME 4=I. A. Wright;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=Goslinga xxx;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/459152020 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/460522147 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/460522157;;;DESC 1=2 v. in-8°;;;NOTE=Edited by Irene A. Wright / Translations by Cornelis F. A. van Dam;;;LINK=Delpher v1: https://resolver.kb.nl/resolve?urn=MMKB05:000038083 = file:///Users/angelnavidad/Downloads/MMKB05_000038083_pdf.pdf / Delpher v2: https://resolver.kb.nl/resolve?urn=MMKB05:000038084 = file:///Users/angelnavidad/Downloads/MMKB05_000038084_pdf.pdf;;;END###	S 756	Wright D	P	1	1934	I. A. Wright	Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla	"2 vols, Kemink en Zoon, Utrecht, Netherlands, 2 v. in-8°, "	Edited by Irene A. Wright / Translations by Cornelis F. A. van Dam / covers 1621 to 1649 / Delpher v1: https://resolver.kb.nl/resolve?urn=MMKB05:000038083 = file:///Users/angelnavidad/Downloads/MMKB05_000038083_pdf.pdf / Delpher v2: https://resolver.kb.nl/resolve?urn=MMKB05:000038084 = file:///Users/angelnavidad/Downloads/MMKB05_000038084_pdf.pdf	http://gw.worldcat.org.proxygw.wrlc.org/oclc/459152020 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/460522147 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/460522157	^^^	^^^	^^^
	PUR;;;OID=S 756;;;AID=^^^;;;OAID=Wright cc / Wright D / Wright/van Dam;;;FM=1;;;TO=2;;;FORM=P;;;PRIM=1;;;DATE=1934;;;DATE=1935;;;TITLE=Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla;;;DESC=vol 1 to 2 of 2 / 1st ed;;;IMPRINT=^^^;;;CAT 0=http://id.lib.harvard.edu/alma/990048050560203941/catalog;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=vol 1 = https://resolver.kb.nl/resolve?urn=MMKB05:000038083 / vol 2 = https://resolver.kb.nl/resolve?urn=MMKB05:000038084;;;SOURCE=AN - orig data sources 1.2.numbers;;;SURL=/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers;;;END###	S 756	Wright cc / Wright D / Wright/van Dam	P	1	1934—1935	^^^	Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla	"vol 1 to 2 of 2 / 1st ed, , , vol 1 to 2 of 2 / 1st ed"	vol 1 = https://resolver.kb.nl/resolve?urn=MMKB05:000038083 / vol 2 = https://resolver.kb.nl/resolve?urn=MMKB05:000038084 / 	http://id.lib.harvard.edu/alma/990048050560203941/catalog	^^^	^^^	^^^
	"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=1;;;TO=^^^;;;FORM=L;;;PRIM=^^^;;;DATE=1619;;;DATE=1669;;;TITLE=Tĳdinghe uyt Verscheyde Quartieren;;;DESC=issue 1 to ^^^ of ^^^;;;IMPRINT=^^^;;;CAT 0=https://webggc.oclc.org/cbs/DB=2.37/XMLPRS=Y/PPN?PPN=43156518X;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=See ""Cadix, den 13. Ian” in no 7 for 16 Feb 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010758935:mpeg21:a0002] / See “Lissabon, den 12. dito” in no 15 for 13 April 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010758936:mpeg21:a0001];;;SOURCE=AN - ‘honduras of campech of campeche of campechi of yucat of iucat of yucatan of jucatan of iucatan’ search in Delpher - Kranten - to 31 Dec 1675;;;SURL=https://www.delpher.nl/nl/kranten/results?query=honduras+or+campech+or+campeche+or+campechi+or+yucat+or+iucat+or+yucatan+or+jucatan+or+iucatan&page=1&sortfield=date&cql%5B%5D=(date+_lte_+%2231-12-1675%22)&coll=ddd;;;END###"	-^-	-^-	L	^^^	1619—1669	^^^	Tĳdinghe uyt Verscheyde Quartieren	"issue 1 to ^^^ of ^^^, , , issue 1 to ^^^ of ^^^"	"See ""Cadix, den 13. Ian” in no 7 for 16 Feb 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010758935:mpeg21:a0002] / See “Lissabon, den 12. dito” in no 15 for 13 April 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010758936:mpeg21:a0001] / "	https://webggc.oclc.org/cbs/DB=2.37/XMLPRS=Y/PPN?PPN=43156518X	^^^	^^^	^^^
	BLU;;;AID=Wright cc;;;SUBAID_0=1;;;SUBAID_1=2;;;ID=;;;FORM=P;;;TYPE_0=1;;;OLD_ID=;;;OLD_AID=;;;OLD_NAME_0=;;;TITLE=Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla;;;CAT_0=http://id.lib.harvard.edu/alma/990048050560203941/catalog;;;CAT_1=;;;CAT_2=;;;OCLC=;;;HDL=;;;PUB_0=1934;;;PUB_1=1935;;;DESC=vol 1 to 2 of 2 / 1st ed;;;NOTE=vol 1 = https://resolver.kb.nl/resolve?urn=MMKB05:000038083 / vol 2 = https://resolver.kb.nl/resolve?urn=MMKB05:000038084;;;END###	-^-	Wright cc	P	1	1934	^^^	Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla	"vol 1 to 2 of 2 / 1st ed, , , vol 1 to 2 of 2 / 1st ed"	vol 1 = https://resolver.kb.nl/resolve?urn=MMKB05:000038083 / vol 2 = https://resolver.kb.nl/resolve?urn=MMKB05:000038084 / 	http://id.lib.harvard.edu/alma/990048050560203941/catalog	^^^	^^^	^^^
	"WIK;;;R.FTM=book;;;R.GENRE=book;;;LAST=Laet;;;FIRST=Joannes de;;;TIT=^^^;;;ATIT=^^^;;;BTIT=Boek XI – boek XIII, of 1634–1636 (en overzicht van bedrijfsactiviteiten 1623-1636);;;JTIT=^^^;;;SER=Historie ofte iaerlijck verhael van de verrichtinghen der geoctroyeerde West-Indische Compagnie, zedert haer begin, tot het eynde van ’t jaer sesthien-hondert ses-en-dertich; begrepen in derthien boecken, ende met verscheyden koperen platen verciert;;;PLACE=Hague;;;ED=^^^;;;PUB=Martinus Nijhoff;;;DATE=1937;;;ID=info:oclcnum/6106946;;;ID=https://resolver.kb.nl/resolve?urn=KONB10:000019207;;;INT=^^^;;;VOL=^^^;;;ISS=^^^;;;PP=^^^;;;END###"	-^-	-^-	P	^^^	1937	Joannes de Laet	"Boek XI – boek XIII, of 1634–1636 (en overzicht van bedrijfsactiviteiten 1623-1636), Historie ofte iaerlijck verhael van de verrichtinghen der geoctroyeerde West-Indische Compagnie, zedert haer begin, tot het eynde van ’t jaer sesthien-hondert ses-en-dertich; begrepen in derthien boecken, ende met verscheyden koperen platen verciert"	"Hague, Martinus Nijhoff, ^^^ ed, , , "	info:oclcnum/6106946	https://resolver.kb.nl/resolve?urn=KONB10:000019207	^^^	^^^	^^^
	"WIK;;;R.FTM=book;;;R.GENRE=book;;;LAST=Laet;;;FIRST=Joannes de;;;TIT=^^^;;;ATIT=^^^;;;BTIT=Boek VIII – boek X, of 1631–1633;;;JTIT=^^^;;;SER=Historie ofte iaerlijck verhael van de verrichtinghen der geoctroyeerde West-Indische Compagnie, zedert haer begin, tot het eynde van ’t jaer sesthien-hondert ses-en-dertich; begrepen in derthien boecken, ende met verscheyden koperen platen verciert;;;PLACE=Hague;;;ED=^^^;;;PUB=Martinus Nijhoff;;;DATE=1934;;;ID=info:oclcnum/6106946;;;ID=https://resolver.kb.nl/resolve?urn=KONB10:000019204;;;INT=^^^;;;VOL=^^^;;;ISS=^^^;;;PP=^^^;;;END###"	-^-	-^-	P	^^^	1934	Joannes de Laet	"Boek VIII – boek X, of 1631–1633, Historie ofte iaerlijck verhael van de verrichtinghen der geoctroyeerde West-Indische Compagnie, zedert haer begin, tot het eynde van ’t jaer sesthien-hondert ses-en-dertich; begrepen in derthien boecken, ende met verscheyden koperen platen verciert"	"Hague, Martinus Nijhoff, ^^^ ed, , , "	info:oclcnum/6106946	https://resolver.kb.nl/resolve?urn=KONB10:000019204	^^^	^^^	^^^
	WIK;;;R.FTM=book;;;R.GENRE=book;;;LAST=^^^;;;FIRST=^^^;;;TIT=^^^;;;ATIT=^^^;;;BTIT=Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla;;;JTIT=^^^;;;SER=^^^;;;PLACE=Utrecht;;;ED=1st;;;PUB=Kemink en Zoon;;;DATE=1935;;;ID=https://resolver.kb.nl/resolve?urn=MMKB05:000038084;;;ID=^^^;;;INT=^^^;;;VOL=^^^;;;ISS=^^^;;;PP=^^^;;;END###	-^-	-^-	P	^^^	1935	^^^	Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla	"Utrecht, Kemink en Zoon, 1st ed, , , "	^^^	https://resolver.kb.nl/resolve?urn=MMKB05:000038084	^^^	^^^	^^^
