Table 1
	CODE	HELD	TITLE	AUTHORS	PUBLISHER	YEAR	YEAR VAL	DESCRIPTION	SUBJECTS	NOTES	OCLC NO	OCLC CAT
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Hunter, Alexander.66Title:Report on the outbreak of yellow fever in Belize, British Honduras ... 1886, and various matters, concerning the sanitary condition of the town.Author(s):           Hunter, Alexander.Publication:         Belize: Government P.,Year:                1887, (c)?Language:            EnglishNote(s):             Part of the History of Tropical Medicine Collection and for reference use in the Library only.Document Type:       BookEntry:               19000000Update:              20181102Accession No:        OCLC:                895110381Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Report on the outbreak of yellow fever in Belize, British Honduras ... 1886, and various matters, concerning the sanitary condition of the town.Author(s)"	"Hunter, Alexander.Publication"	"Belize: Government P.,"	^^^	1	^^^	^^^	^^^	895110381	https://worldcat.org/oclc/895110381
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Blue book52British Honduras.100Title:Blue book /Corp Author(s):      British Honduras.Publication:         Belize : Printed by the Government Printer.Year:                1800sDescription:         volumes ; 33 cmLanguage:            EnglishSUBJECT(S)Descriptor:          Expenditures, Public.Genre/Form:          Periodicals.Geographic:          Belize -- Appropriations and expenditures -- Periodicals.Belize.Note(s):             Annual./ 1932 LIC.Class Descriptors:    LC: J144 .R2Responsibility:      British Honduras.Material Type:       Government publication (gpb)Document Type:       BookEntry:               19960618Update:              20200804Accession No:        OCLC:                1124255674Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	Blue book /Corp Author(s)	British Honduras.Publication	Belize : Printed by the Government Printer.	1800s	1800	volumes ; 33 cm	"Descriptor: Expenditures, Public.Genre/Form: Periodicals.Geographic: Belize -- Appropriations and expenditures -- Periodicals.Belize.Note(s): Annual./ 1932 LIC."	Annual./ 1932 LIC.	1124255674	https://worldcat.org/oclc/1124255674
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:Glimpses of Belize and district.Publication:         Belize : James Brodie & Co., Hood & Co.)Year:                1800sDescription:         24 unnumbered leaves of plates : illustrations ; 13 x 19 cmLanguage:            EnglishSUBJECT(S)Genre/Form:          Pictorial works.Geographic:          Belize -- Pictorial works.Belize.Class Descriptors:    LC: F1444Other Titles:        Souvenir of Belize, British HondurasDocument Type:       BookEntry:               20090303Update:              20210529Accession No:        OCLC:                311868479Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	Glimpses of Belize and district.Publication	^^^	"Belize : James Brodie & Co., Hood & Co.)"	1800s	1800	24 unnumbered leaves of plates : illustrations ; 13 x 19 cm	Genre/Form: Pictorial works.Geographic: Belize -- Pictorial works.Belize.	^^^	311868479	https://worldcat.org/oclc/311868479
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Poyais4Title:Poyaisproceedings of an inquiry and investigation instituted by Major General Codd ... the true situation of the maginary state of Poyais, and shewing the sufferings of the unfortunate Emigrants to theMosquito Shore and containing a variety of documents relative to Sir Gregor M'GregorPublication:         Belize J.R. Dove, printerYear:                1824Description:         171 pages 21 cmLanguage:            EnglishDocument Type:       BookEntry:               19000000Update:              20140604Accession No:        OCLC:                880771228Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Poyaisproceedings of an inquiry and investigation instituted by Major General Codd ... the true situation of the maginary state of Poyais, and shewing the sufferings of the unfortunate Emigrants to theMosquito Shore and containing a variety of documents relative to Sir Gregor M'GregorPublication"	^^^	"Belize J.R. Dove, printer"	1824	1824	171 pages 21 cm	^^^	^^^	880771228	https://worldcat.org/oclc/880771228
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Honduras Society for Promoting Christian Knowledge.1Title:Report of the first year's proceedings of the Honduras Society for Promoting Christian Knowledge. October the 3rd, 1826.Corp Author(s):      Honduras Society for Promoting Christian Knowledge.Publication:         Honduras : Belize.-- : Gazette Office.,Place:               Belize.Year:                1826Description:         52 pages ; 18 cmLanguage:            EnglishSUBJECT(S)Named Corp:          Honduras Society for Promoting Christian Knowledge.Document Type:       BookEntry:               20151109Update:              20171215Accession No:        OCLC:                950947888Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Report of the first year's proceedings of the Honduras Society for Promoting Christian Knowledge. October the 3rd, 1826.Corp Author(s)"	Honduras Society for Promoting Christian Knowledge.Publication	"Honduras : Belize.-- : Gazette Office.,Place: Belize."	1826	1826	52 pages ; 18 cm	^^^	^^^	950947888	https://worldcat.org/oclc/950947888
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:The Honduras almanack, for the year of our Lord 1826. ... :Calculated to the meridian of Belize ...Publication:         Belize. : Published by authority of the magistrates.,Place:               Belize.Year:                1826Description:         92, [4] pages, 3 unnumbered leaves of plates : illustrations ; 18 cmLanguage:            EnglishSUBJECT(S)Genre/Form:          Almanacs -- Belize -- 1826.Note(s):             Added engraved title page has title: The Honduras almanac, for 1826./ Last page blank.Other Titles:        Honduras almanac, for 1826.Document Type:       BookEntry:               20130820Update:              20190315Accession No:        OCLC:                950944267Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"The Honduras almanack, for the year of our Lord 1826. ..."	^^^	"Belize. : Published by authority of the magistrates.,Place: Belize."	1826	1826	"92, [4] pages, 3 unnumbered leaves of plates : illustrations ; 18 cm"	^^^	^^^	950944267	https://worldcat.org/oclc/950944267
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:The Honduras almanack :for the year of Our Lord 1826 ...Publication:         Belize : Published by authority of the magistrates,Year:                1826Description:         92, [4] pages, 2 unnumbered leaves of plates : illustrations (engravings), tables ; 18 cm (12mo)Language:            EnglishSUBJECT(S)Descriptor:          Criminal law -- Belize.Criminal law.Criminal LawDroit pénal.criminal law.Criminal law.Travel.Genre/Form:          Almanacs.Geographic:          Belize -- Description and travel.Belize -- Descriptions et voyages.Belize.Note(s):             Includes a reprint of ""An Act to amend an Act ... for the more effectual punishment of murders ... in Honduras.""/ Added engraved title ""The Honduras almanac for 1826.""Other Titles:        Honduras almanac for 1826Document Type:       BookEntry:               19931208Update:              20220629Accession No:        OCLC:                29451296Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	The Honduras almanack	^^^	"Belize : Published by authority of the magistrates,"	1826	1826	"92, [4] pages, 2 unnumbered leaves of plates : illustrations (engravings), tables ; 18 cm (12mo)"	^^^	^^^	29451296	https://worldcat.org/oclc/29451296
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:The Honduras almanack, for the year of our Lord 1827. ... :Calculated to the meridian of Belize ...Publication:         Belize. : Published by authority of the magistrates.,Place:               Belize.Year:                1827Description:         188, iv, iii, [1] pages, 3 unnumbered leaves of plates (2 folded) : illustrations ; 18 cmLanguage:            EnglishSUBJECT(S)Genre/Form:          Almanacs -- Belize -- 1827.Note(s):             Added engraved title page has title: The Honduras almanac, for 1827.Other Titles:        Honduras almanac, for 1827.Document Type:       BookEntry:               20151109Update:              20190315Accession No:        OCLC:                950947887Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"The Honduras almanack, for the year of our Lord 1827. ..."	^^^	"Belize. : Published by authority of the magistrates.,Place: Belize."	1827	1827	"188, iv, iii, [1] pages, 3 unnumbered leaves of plates (2 folded) : illustrations ; 18 cm"	^^^	^^^	950947887	https://worldcat.org/oclc/950947887
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:The Honduras almanack, for the year of our Lord 1828 ... :Calculated to the meridian of Belize.Publication:         Belize. : Published by authority of the Legislative Assembly,Place:               Belize.Year:                1828Description:         288, [1], v pages, 3 unnumbered leaves of plates (1 folded) : illustrations ; 19 cmLanguage:            EnglishSUBJECT(S)Genre/Form:          Almanacs -- Belize -- 1828.Document Type:       BookEntry:               20130730Update:              20190315Accession No:        OCLC:                950944159Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"The Honduras almanack, for the year of our Lord 1828 ..."	^^^	"Belize. : Published by authority of the Legislative Assembly,Place: Belize."	1828	1828	"288, [1], v pages, 3 unnumbered leaves of plates (1 folded) : illustrations ; 19 cm"	^^^	^^^	950944159	https://worldcat.org/oclc/950944159
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:The Honduras almanack, for the year of Our Lord 1830 . :calculated to the meridian of Belize, latitude 17,29,36 North. Longitude 88,02,00 West.Corp Author(s):      Authority of the Legislative Assembly, ; publisher.Publication:         Belize : Published by authority of the Legislative Assembly.,Year:                1829Description:         185, iii pages, 1 folded leaf of plates : illustrations, map ; 18 cmLanguage:            EnglishSUBJECT(S)Genre/Form:          Yearbooks.Almanacs -- Honduras -- 1830.Geographic:          Belize -- Year-books.Belize.Note(s):             Presumably printed in 1829 for publication in 1830./ Title vignette./ Contains a map of the town of Belize./ Subsidized by the Legislative Assembly after 5. March 1827; issuesbefore that date were without official authorization.Other Titles:        Honduras almanack, for 1830Document Type:       BookEntry:               19990507Update:              20220504Accession No:        OCLC:                828629865Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"The Honduras almanack, for the year of Our Lord 1830 ."	"Authority of the Legislative Assembly, ; publisher.Publication"	"Belize : Published by authority of the Legislative Assembly.,"	1829	1829	"185, iii pages, 1 folded leaf of plates : illustrations, map ; 18 cm"	^^^	^^^	828629865	https://worldcat.org/oclc/828629865
