Table 1
	CODE	HELD	TITLE	AUTHORS	PUBLISHER	YEAR	YEAR VAL	DESCRIPTION	SUBJECTS	NOTES	OCLC NO	OCLC CAT
	"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Availability:       FirstSearch indicates your institution owns the item. Libraries worldwide that own item: 1    Harvard University   Search the HOLLIS CatalogExternal Resources: Cite This ItemTitle:Renglones, 1899;[sketches].Author(s):          Turcios, Froylán, 1875-1943.Publication:        Tegucigalpa, Honduras, tip. nacional,Year:               1899Language:           SpanishDocument Type:      BookEntry:              19960814Update:             20211225Accession No:       OCLC:               77817446Provider:        OCLCDatabase:           WorldCat"	^^^	"Renglones, 1899;[sketches].Author(s)"	"Turcios, Froylán, 1875-1943.Publication"	"Tegucigalpa, Honduras, tip. nacional,"	^^^	1	^^^	^^^	^^^	77817446	https://worldcat.org/oclc/77817446
	"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Circular2,508Honduras.39,141Title:Circular.Corp Author(s):      Honduras.; Ministerio de Gobernación.Publication:         [Honduras] : República de Honduras, Ministerio de Gobernación,Year:                1887Language:            SpanishSUBJECT(S)Descriptor:          Presidents -- Honduras -- Elections.Presidents -- Election.Named Person:        Bográn, Luis, 1849-1895.Bográn, Luis, 1849-1895.Geographic:          Honduras.Note(s):             Signed ""Planas.""Document Type:       BookEntry:               20130809Update:              20220421Accession No:        OCLC:                855333682Provider:        OCLCDatabase:            WorldCat"	1	Circular.Corp Author(s)	Honduras.; Ministerio de Gobernación.Publication	"[Honduras] : República de Honduras, Ministerio de Gobernación,"	^^^	1	^^^	^^^	^^^	855333682	https://worldcat.org/oclc/855333682
	"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Soltera, Maria.2Title:A lady's ride across Spanish /Author(s):           Soltera, Maria.Publication:         Honduras : Blackwood,Year:                1884Language:            EnglishStandard No:         National Library:    012808662Responsibility:      Mary Lester [Maria Soltera pseud.].Document Type:       BookEntry:               20040420Update:              20150924Accession No:        OCLC:                500305699Provider:        OCLCDatabase:            WorldCat"	1	A lady's ride across Spanish /Author(s)	"Soltera, Maria.Publication"	"Honduras : Blackwood,"	^^^	1	^^^	^^^	^^^	500305699	https://worldcat.org/oclc/500305699
	"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Availability:       Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources: Cite This ItemFind Items About:   Lawrence, Effingham.17Lawrence, Joseph.74Columbia University.9,390Title:               Record of trade between New York and the West IndiesAuthor(s):          Lawrence, Effingham.Lawrence, Joseph.Corp Author(s):     Columbia University.; Rare Book and Manuscript Library. ; Montgomery Manuscripts (Columbia University. Rare Book and Manuscript Library)Publication:        Honduras Bay and New York,Place:              United States.; New York (State); West Indies (Federation)Year:               1757-1773Description:        2 volumes ; 22 x 34 cmLanguage:           EnglishContents:           v. 1. Accounts and letterbook copies, 1757-1773, [57] leaves -- v. 2. Record of trade between New York and West Indies, with receipts, 1765-1768, [50] p.SUBJECT(S)Descriptor:         Commerce.Genre/Form:         ManuscriptsManuscripts, American.account books.receipts (financial records)Early works.Manuscripts.Account books.Livres comptables.Geographic:         New York (State) -- Commerce -- West Indies (Federation) -- Early works to 1800.West Indies (Federation) -- Commerce -- New York (State) -- Early works to 1800.New York (État) -- Commerce -- Indes-Occidentales (Fédération) -- Ouvrages avant 1800.New York (State)West Indies -- West Indies (Federation)Note(s):            Manuscript on paper./ Volume 1 shelved Folio, volume 2 shelved Flat.Material Type:      Manuscript (mss)Document Type:      Book; Archival MaterialDate of Entry:      20100217Update:             20220523Accession No:       OCLC:               606986949Provider:        OCLCDatabase:           WorldCat"	1	Record of trade between New York and the West IndiesAuthor(s)	"Lawrence, Effingham.Lawrence, Joseph.Corp Author(s)"	"Honduras Bay and New York,Place: United States.; New York (State); West Indies (Federation)"	1757-1773	1757	2 volumes ; 22 x 34 cm	^^^	^^^	606986949	https://worldcat.org/oclc/606986949
	"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Despard, Edward Marcus,max: 137Title:                Statement of expenses, Honduras, to His Majestys Government / John Garbutt, 1787 May 28 :manuscript signed.Author(s):           Despard, Edward Marcus, 1751-1803.Garbutt, John, ; recipient.Publication:         Honduras,Place:               Honduras.Year:                1787-05-28Description:         1 item (2 pages) ; 32.9 x 19.9 cmLanguage:            EnglishStandard No:         Other:               MA 22696Abstract:            Approving a bill for expenses "" ... incurred in an excursion up the Belize River by order of Col.'t Despard to endeavour by cutting a path a cross from thence to ascertain thehead of Libun River and to co-operate with Lieu't Leon a Spanish Officer of Engineers sent up the river Libun by Col.'l Grimorest for the same purpose.""SUBJECT(S)Descriptor:          1787 05 28.Note(s):             With the signature of John Garbutt acknowledging payment in full of the account and endorsed on the verso as Voucher No. 2 and acknowledging payment./ Bio/History:        British Army officer, Superintendent of British Honduras, 1783-1790; later executed for treason as a result of the failed Despard Plot to assassinate George III.Material Type:       Manuscript (mss)Document Type:       Book; Archival MaterialDate of Entry:       19990327Update:              20220719Accession No:        OCLC:                270534578Provider:        OCLCDatabase:            WorldCat"	1	"Statement of expenses, Honduras, to His Majestys Government / John Garbutt, 1787 May 28"	"Despard, Edward Marcus, 1751-1803.Garbutt, John, ; recipient.Publication"	"Honduras,Place: Honduras."	1787-05-28	1787	1 item (2 pages) ; 32.9 x 19.9 cm	^^^	^^^	270534578	https://worldcat.org/oclc/270534578
	"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Availability:       Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources: Cite This ItemFind Items About:   Despard, Edward Marcus,max: 137Title:               Letter from Edward Despard, Honduras, to the Lords of the Treasury, 1790 April 21 :manuscript signed.Author(s):          Despard, Edward Marcus, 1751-1803.Publication:        Honduras,Place:              Honduras.Year:               1790-04-21Description:        1 item (2 pages) ; 31.9 x 20.3 cmLanguage:           EnglishStandard No:        Other:              MA 22697Abstract:           Requesting reimbursement of £877,18 shillings and 10 pence for expenses, for salary owed him as Superintendent and the rent on his house from December 1788 to April 14th, 1790 inaccordance with the Convention.SUBJECT(S)Descriptor:         1790 04 21.Note(s):            Endorsed./ Addressed to the ""Right Honble the Lord Commissioners of His Majestys Treasury, Whitehall.""/ Bio/History:        British Army officer, Superintendent of BritishHonduras, 1783-1790; later executed for treason as a result of the failed Despard Plot to assassinate George III.Material Type:      Manuscript (mss)Document Type:      Book; Archival MaterialDate of Entry:      19990327Update:             20220719Accession No:       OCLC:               270535440Provider:        OCLCDatabase:           WorldCat"	1	"Letter from Edward Despard, Honduras, to the Lords of the Treasury, 1790 April 21"	"Despard, Edward Marcus, 1751-1803.Publication"	"Honduras,Place: Honduras."	1790-04-21	1790	1 item (2 pages) ; 31.9 x 20.3 cm	^^^	^^^	270535440	https://worldcat.org/oclc/270535440
	"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Availability:       Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources: Cite This ItemTitle:La religión pura /Author(s):          Carter, Enrique.Publication:        [Santa Rosa, Honduras] : [Tip. ""La Copaneca""],Year:               1800sDescription:        3 pages ; 31 cmLanguage:           SpanishSUBJECT(S)Descriptor:         Christianity.Purity (Ethics)ChristianityChristianisme.Pureté (Morale)Christianity.Christianity.Purity (Ethics)Note(s):            Caption title.Responsibility:     [Enrique Carter].Document Type:      BookEntry:              20091222Update:             20220522Accession No:       OCLC:               492431541Provider:        OCLCDatabase:           WorldCat"	1	La religión pura /Author(s)	"Carter, Enrique.Publication"	"[Santa Rosa, Honduras] : [Tip. ""La Copaneca""],"	1800s	1800	3 pages ; 31 cm	^^^	^^^	492431541	https://worldcat.org/oclc/492431541
	"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:Los comisionados del barrio-abajo a sus vecinos.Publication:         [Honduras?] : [publisher not identified],Year:                1800sDescription:         1 sheet : illustrations ; 19 cmLanguage:            SpanishNote(s):             A poem.Document Type:       BookEntry:               20120524Update:              20151014Accession No:        OCLC:                794240932Provider:        OCLCDatabase:            WorldCat"	1	Los comisionados del barrio-abajo a sus vecinos.Publication	^^^	"[Honduras?] : [publisher not identified],"	1800s	1800	1 sheet : illustrations ; 19 cm	^^^	^^^	794240932	https://worldcat.org/oclc/794240932
	"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Honduras Society for Promoting Christian Knowledge.1Title:Report of the first year's proceedings of the Honduras Society for Promoting Christian Knowledge. October the 3rd, 1826.Corp Author(s):      Honduras Society for Promoting Christian Knowledge.Publication:         Honduras : Belize.-- : Gazette Office.,Place:               Belize.Year:                1826Description:         52 pages ; 18 cmLanguage:            EnglishSUBJECT(S)Named Corp:          Honduras Society for Promoting Christian Knowledge.Document Type:       BookEntry:               20151109Update:              20171215Accession No:        OCLC:                950947888Provider:        OCLCDatabase:            WorldCat"	1	"Report of the first year's proceedings of the Honduras Society for Promoting Christian Knowledge. October the 3rd, 1826.Corp Author(s)"	Honduras Society for Promoting Christian Knowledge.Publication	"Honduras : Belize.-- : Gazette Office.,Place: Belize."	1826	1826	52 pages ; 18 cm	^^^	^^^	950947888	https://worldcat.org/oclc/950947888
	"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Availability:       Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources: Cite This ItemTitle:Instrucción a los infelices de los pueblos que careciendo de todo auxilio de médico y botíca tienen la desgracia de verse acometidos de la horrorosa epidemia del colera morbus.Publication:        [Comayagua, Honduras] : [Impr. del Estado à cargo de J.M. Sánchez],Year:               1837Description:        1 sheet ; 22 x 16 cmLanguage:           SpanishSUBJECT(S)Descriptor:         Medicine -- Honduras -- History.Gastroenteritis.Médecine -- Honduras -- Histoire.Gastroentérite.Gastroenteritis.Medicine.Genre/Form:         History.Geographic:         Honduras.Note(s):            Caption title./ ""Impresa en Guatemala; y de orden del Supremo Gobierno reimpresa en Comayagua en la Imprenta del Estado ...""Material Type:      Government publication (gpb); National government publication (ngp)Document Type:      BookEntry:              19870424Update:             20220530Accession No:       OCLC:               21837593Provider:        OCLCDatabase:           WorldCat"	1	Instrucción a los infelices de los pueblos que careciendo de todo auxilio de médico y botíca tienen la desgracia de verse acometidos de la horrorosa epidemia del colera morbus.Publication	^^^	"[Comayagua, Honduras] : [Impr. del Estado à cargo de J.M. Sánchez],"	1837	1837	1 sheet ; 22 x 16 cm	^^^	^^^	21837593	https://worldcat.org/oclc/21837593
