Table 1
	CODE	HELD	TITLE	AUTHORS	PUBLISHER	YEAR	YEAR VAL	DESCRIPTION	SUBJECTS	NOTES	OCLC NO	OCLC CAT
	"Availability:           Check the catalogs in your library. Libraries worldwide that own item: 4 (1 Committed to Retain) Search the HOLLIS CatalogExternal Resources:     Cite This ItemFind Items About:       Farrar, Charles A. J.max: 1Title:Camp life in the wilderness.A tale of the Richardson lakes.Author(s):              Farrar, Charles A. J. -1893.  (Charles Alden John),Publication:            Boston, Lee and Shepard; Jamaica Plain, Mass., Jamaica Pub. Co.,Edition:                [3rd ed.].Year:                   1890Language:               EnglishSUBJECT(S)Descriptor:             Camping.Camping.Camping.Travel.Geographic:             Richardson Lakes (Me.)Maine -- Description and travel.Maine -- Descriptions et voyages.Maine.Note(s):                Originally published in a weekly paper in 1875.Class Descriptors:       LC: SK33; Dewey: 813.49Responsibility:         With thirty illustrations drawn by Reed and Poole. By Charles A.J. Farrar.Document Type:          BookEntry:                  19880930Update:                 20220622Accession No:           OCLC:                   18547835Provider:        OCLCDatabase:               WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	^^^	Camp life in the wilderness.A tale of the Richardson lakes.Author(s)	"Farrar, Charles A. J. -1893. (Charles Alden John),Publication"	"Boston, Lee and Shepard; Jamaica Plain, Mass., Jamaica Pub. Co.,Edition: [3rd ed.]."	^^^	1	^^^	Descriptor: Camping.Camping.Camping.Travel.Geographic: Richardson Lakes (Me.)Maine -- Description and travel.Maine -- Descriptions et voyages.Maine.Note(s): Originally published in a weekly paper in 1875.	Originally published in a weekly paper in 1875.	18547835	https://worldcat.org/oclc/18547835
	"Availability:           Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:     Cite This ItemTitle:Tourist guide to the Island of JamaicaAuthor(s):              Gardner, Aston W.Publication:            Kingston, Jamaica Printed by A.W. Gardner & Co.Year:                   1893Language:               EnglishNote(s):                Specially compiled for Aston W. Gardner & Co ...Document Type:          BookEntry:                  19000000Update:                 20151207Accession No:           OCLC:                   870504791Provider:        OCLCDatabase:               WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	Tourist guide to the Island of JamaicaAuthor(s)	"Gardner, Aston W.Publication"	"Kingston, Jamaica Printed by A.W. Gardner & Co."	^^^	1	^^^	^^^	^^^	870504791	https://worldcat.org/oclc/870504791
	"Availability:           Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:     Cite This ItemFind Items About:       Bowerbank, Lewis Quier2Title:The Letters of Mr. Alexander Fiddes F.R.C.S., Edin.Author(s):              Bowerbank, Lewis QuierPublication:            Kingston, Jamaica George Henderson ...Year:                   1865Language:               EnglishNote(s):                Considered and refuted ...Document Type:          BookEntry:                  19000000Update:                 20151207Accession No:           OCLC:                   870504695Provider:        OCLCDatabase:               WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	"The Letters of Mr. Alexander Fiddes F.R.C.S., Edin.Author(s)"	"Bowerbank, Lewis QuierPublication"	"Kingston, Jamaica George Henderson ..."	^^^	1	^^^	^^^	^^^	870504695	https://worldcat.org/oclc/870504695
	"Availability:           Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:     Cite This ItemFind Items About:       Jamaica.70,161Title:The laws of Jamaica :passed in a session which began on the 28th day of February and adjourned sine die on the 26th day of April, 1893.Corp Author(s):         Jamaica.Publication:            Kingston, Jamaica : Government Printing Office,Year:                   1893Language:               EnglishDocument Type:          BookEntry:                  19000000Update:                 20220426Accession No:           OCLC:                   896692083Provider:        OCLCDatabase:               WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	The laws of Jamaica	Jamaica.Publication	"Kingston, Jamaica : Government Printing Office,"	^^^	1	^^^	^^^	^^^	896692083	https://worldcat.org/oclc/896692083
	"Availability:           Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:     Cite This ItemFind Items About:       RADCLIFFE, John,211Title:A sermon on the death of W. Wemyss Anderson, delivered July 21, 1877, in the Scotch Kirk, Kingston, Jamaica.Author(s):              RADCLIFFE, John, Rev., of Kingston, Jamaica.ANDERSON, William Wemyss.Publication:            Kingston, Jamaica: ""Gleaner Office"",Year:                   1877Language:               EnglishStandard No:            National Library:       003025840Note(s):                Not published.Document Type:          BookEntry:                  19900125Update:                 20200613Accession No:           OCLC:                   504280545Provider:        OCLCDatabase:               WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	"A sermon on the death of W. Wemyss Anderson, delivered July 21, 1877, in the Scotch Kirk, Kingston, Jamaica.Author(s)"	"RADCLIFFE, John, Rev., of Kingston, Jamaica.ANDERSON, William Wemyss.Publication"	"Kingston, Jamaica: ""Gleaner Office"","	^^^	1	^^^	^^^	^^^	504280545	https://worldcat.org/oclc/504280545
	"Availability:           Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:     Cite This ItemTitle:Colloquies at Hesperusor, Christian Willinghood, and National Duty; a Discussion for the Times.Author(s):              Morris, David Rutton RevPublication:            Kingston, Jamaica : M. deCordova, McDougall & Co.,Year:                   1868Language:               EnglishDocument Type:          BookEntry:                  19000000Update:                 20210822Accession No:           OCLC:                   870503597Provider:        OCLCDatabase:               WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	"Colloquies at Hesperusor, Christian Willinghood, and National Duty; a Discussion for the Times.Author(s)"	"Morris, David Rutton RevPublication"	"Kingston, Jamaica : M. deCordova, McDougall & Co.,"	^^^	1	^^^	^^^	^^^	870503597	https://worldcat.org/oclc/870503597
	"Availability:           Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:     Cite This ItemTitle:Sketches of character in illustration of the habits, occupation and costume of the Negro population in the Island of Jamaica /Publication:            Kingston, Jamaica : The artist,Edition:                First edition.Year:                   1837Language:               EnglishSeries:                 Extra series (Hakluyt Society);Responsibility:         I.M. Belisario.Document Type:          BookEntry:                  19850503Update:                 20150729Accession No:           OCLC:                   223623852Provider:        OCLCDatabase:               WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	"Sketches of character in illustration of the habits, occupation and costume of the Negro population in the Island of Jamaica /Publication"	^^^	"Kingston, Jamaica : The artist,Edition: First edition."	^^^	1	^^^	^^^	^^^	223623852	https://worldcat.org/oclc/223623852
	"Availability:           Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:     Cite This ItemFind Items About:       Gall, James9Title:The Proceedings in the case of Gillard vs. Gall, for an alleged false, scandalous, malicious and defamatory libel upon Richard Gillard, Acting Collector-General, Collector of Customs, and ActingAssistant Surveyor, Kingston before Mr. Justice Kerr and a special jury, on Friday, 26th October, 1877. With an appendix.Author(s):              Gillard, Richard vd.Gall, JamesPublication:            [Kingston, Jamaica] [M. DeCordova & Co., Printers, Gleaner Office]Year:                   1877Language:               EnglishDocument Type:          BookEntry:                  19000000Update:                 20151207Accession No:           OCLC:                   870503816Provider:        OCLCDatabase:               WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	"The Proceedings in the case of Gillard vs. Gall, for an alleged false, scandalous, malicious and defamatory libel upon Richard Gillard, Acting Collector-General, Collector of Customs, and ActingAssistant Surveyor, Kingston before Mr. Justice Kerr and a special jury, on Friday, 26th October, 1877. With an appendix.Author(s)"	"Gillard, Richard vd.Gall, JamesPublication"	"[Kingston, Jamaica] [M. DeCordova & Co., Printers, Gleaner Office]"	^^^	1	^^^	^^^	^^^	870503816	https://worldcat.org/oclc/870503816
	"Availability:           Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:     Cite This ItemFind Items About:       Pennock, Thomas.3Title:Refutation of ""An affectionate address, to the Jews of Jamaica, on the great subject of Christianity, by Thomas Pennock ..."" /Author(s):              Carillon, B. C.Pennock, Thomas. ; An affectionate address to the Jews of Jamaica on the great subject of Christianity.Publication:            Spanish Town, Jamaica : Jordan & Osborn,Year:                   1847Language:               EnglishSUBJECT(S)Descriptor:             Missions to Jews.Judaism -- Apologetic works.Missions auprès des Juifs.Judaïsme -- Ouvrages apologétiques.Judaism.Missions to Jews.Genre/Form:             Apologetic writings.Class Descriptors:       LC: BZ7331Responsibility:         by B.C. Carillon.Document Type:          BookEntry:                  19910729Update:                 20220526Accession No:           OCLC:                   1117227894Provider:        OCLCDatabase:               WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Refutation of ""An affectionate address, to the Jews of Jamaica, on the great subject of Christianity, by Thomas Pennock ..."" /Author(s)"	"Carillon, B. C.Pennock, Thomas. ; An affectionate address to the Jews of Jamaica on the great subject of Christianity.Publication"	"Spanish Town, Jamaica : Jordan & Osborn,"	^^^	1	^^^	Descriptor: Missions to Jews.Judaism -- Apologetic works.Missions auprès des Juifs.Judaïsme -- Ouvrages apologétiques.Judaism.Missions to Jews.Genre/Form: Apologetic writings.	^^^	1117227894	https://worldcat.org/oclc/1117227894
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Lectures on Negro proverbs with a preliminary paper on Negro literature.Author(s):                Radcliffe, Rev. JohnPublication:              Kingston, Jamaica: [publisher not identified],Year:                     1869Language:                 EnglishDocument Type:            BookEntry:                    20040303Update:                   20210408Accession No:             OCLC:                     870468760Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	Lectures on Negro proverbs with a preliminary paper on Negro literature.Author(s)	"Radcliffe, Rev. JohnPublication"	"Kingston, Jamaica: [publisher not identified],"	^^^	1	^^^	^^^	^^^	870468760	https://worldcat.org/oclc/870468760
