Table 1
	CODE	HELD	TITLE	AUTHORS	PUBLISHER	YEAR	YEAR VAL	DESCRIPTION	SUBJECTS	NOTES	OCLC NO	OCLC CAT
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Carrillo y Ancona, Crescenciomax: 29Title:La isla de Arenas :apuntes para la defensa de la integridad del territorio nacional relación á dicha isla, y á otras muchas que con ella se enlazan en las costas de Yucatán /Author(s):           Carrillo y Ancona, Crescencio 1837-1897Publication:         Mérida de YucatánYear:                1886Language:            SpanishStandard No:         Other:               SPKT556847Responsibility:      Crescencio Carrillo y AnconaDocument Type:       BookEntry:               20000101Update:              20220601Accession No:        OCLC:                252730760Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	La isla de Arenas	"Carrillo y Ancona, Crescencio 1837-1897Publication"	Mérida de Yucatán	^^^	1	^^^	^^^	^^^	252730760	https://worldcat.org/oclc/252730760
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Carrillo y Ancona, Crescencio.29Title:Alocución del ilmo. sr. obispo titular de Lero y coadjutor de Yucatan Dr. D. Crescencio Carrillo y Ancona en la solemne asamblea ... del soberano pontífice.Author(s):           Carrillo y Ancona, Crescencio.Publication:         Mérida de Yucatan : Gamboa Guzman y Hermano,Year:                1884Language:            SpanishDocument Type:       BookEntry:               19980908Update:              20200115Accession No:        OCLC:                807733291Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	Alocución del ilmo. sr. obispo titular de Lero y coadjutor de Yucatan Dr. D. Crescencio Carrillo y Ancona en la solemne asamblea ... del soberano pontífice.Author(s)	"Carrillo y Ancona, Crescencio.Publication"	"Mérida de Yucatan : Gamboa Guzman y Hermano,"	^^^	1	^^^	^^^	^^^	807733291	https://worldcat.org/oclc/807733291
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Manifestación pública hecha por el Círculo Liberal Independiente de Campeche al C. Gobernador Constitucional del Estado Carlos Gutierrez Mac-Gregor, el dia 16 de septiembre de 1899Publication:              Mérida de YucatánYear:                     1899Language:                 SpanishStandard No:              Other:                    SPKT164280Document Type:            BookEntry:                    20000101Update:                   20180608Accession No:             OCLC:                     253019881Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Manifestación pública hecha por el Círculo Liberal Independiente de Campeche al C. Gobernador Constitucional del Estado Carlos Gutierrez Mac-Gregor, el dia 16 de septiembre de 1899Publication"	^^^	Mérida de Yucatán	^^^	1	^^^	^^^	^^^	253019881	https://worldcat.org/oclc/253019881
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:Exámen crítico del proyecto de decreto /Author(s):           Méndez, Santiago.Publication:         Mérida de Yucatán : Por Rafeael Pedrera,Year:                1844Language:            SpanishSUBJECT(S)Descriptor:          Iglesia y Estado -- México -- Yucatán.Iglesia -- Leyes y legislación -- México -- Yucatán.Libertad religiosa -- Leyes y legislación -- México -- Yucatán.Class Descriptors:    LC: KGF9238.6.R4Responsibility:      presentado por el Excmo. Sr. gobernador, D. Santiago Méndez, á la H. asamblea departamental, sobre dotación del culto religioso y sus ministros. Su autor un católicoseglar.Document Type:       BookEntry:               20060605Update:              20170723Accession No:        OCLC:                906868552Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	Exámen crítico del proyecto de decreto /Author(s)	"Méndez, Santiago.Publication"	"Mérida de Yucatán : Por Rafeael Pedrera,"	^^^	1	^^^	Descriptor: Iglesia y Estado -- México -- Yucatán.Iglesia -- Leyes y legislación -- México -- Yucatán.Libertad religiosa -- Leyes y legislación -- México -- Yucatán.	^^^	906868552	https://worldcat.org/oclc/906868552
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Perez, Juan Pio.7Title:Diccionario de la lengua Maya.Author(s):           Perez, Juan Pio.Publication:         Merida de Yucatan,Year:                1866-1877Language:            SpanishDocument Type:       BookEntry:               20000121Update:              20180116Accession No:        OCLC:                185303963Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	Diccionario de la lengua Maya.Author(s)	"Perez, Juan Pio.Publication"	"Merida de Yucatan,"	^^^	1	^^^	^^^	^^^	185303963	https://worldcat.org/oclc/185303963
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Instigado del gravisimo perjuicio con que mi poca fortuna tiene confundida mi mucha justicia, y persuadido à que aya sido por equivocacion en las relaciones, ù inteligencia del hecho, le pongo porlo constante de los autos ... /Author(s):                Osorio Rubin de Celis, Casimiro José.Publication:              [Yucatan : s.n.,Year:                     1730-1732?Language:                 SpanishSUBJECT(S)Descriptor:               Encomiendas -- MEXICO -- SIGLO 18.Note(s):                  Apostillas marginales./ Con: Informe de la obligacion que por todos derechos tienen los indios de alimentar a sus parrocos en el Obispado de Guatemala. [Santa Ines : s.n.,1687].Responsibility:           Don Casimiro Joseph Osorio Rubin de Celis.Document Type:            BookEntry:                    19910916Update:                   20220518Accession No:             OCLC:                     1318609149Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Instigado del gravisimo perjuicio con que mi poca fortuna tiene confundida mi mucha justicia, y persuadido à que aya sido por equivocacion en las relaciones, ù inteligencia del hecho, le pongo porlo constante de los autos ... /Author(s)"	"Osorio Rubin de Celis, Casimiro José.Publication"	"[Yucatan : s.n.,"	^^^	1	^^^	^^^	^^^	1318609149	https://worldcat.org/oclc/1318609149
	"Availability:             Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:Instigado del gravisimo perjuicio con que mi poca fortuna tiene confundida mi mucha justicia, y persuadido à que aya sido por equivocacion en las relaciones, ù inteligencia del hecho, le pongo porlo constante de los autos ... /Author(s):                Osorio Rubin de Celis, Casimiro José.Publication:              [Yucatan : s.n.,Year:                     1730-1732?Language:                 SpanishSUBJECT(S)Descriptor:               Encomiendas -- MEXICO -- SIGLO 18.Note(s):                  Apostillas marginales./ Con: Informe de la obligacion que por todos derechos tienen los indios de alimentar a sus parrocos en el Obispado de Guatemala. [Santa Ines : s.n.,1687].Responsibility:           Don Casimiro Joseph Osorio Rubin de Celis.Document Type:            BookEntry:                    19910916Update:                   20220518Accession No:             OCLC:                     1318480198Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Instigado del gravisimo perjuicio con que mi poca fortuna tiene confundida mi mucha justicia, y persuadido à que aya sido por equivocacion en las relaciones, ù inteligencia del hecho, le pongo porlo constante de los autos ... /Author(s)"	"Osorio Rubin de Celis, Casimiro José.Publication"	"[Yucatan : s.n.,"	^^^	1	^^^	^^^	^^^	1318480198	https://worldcat.org/oclc/1318480198
	"Access:              http://libweb5.princeton.edu/visual_materials/gates/images/princetonmeso15.jpgAvailability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:                Maya legal documents,1686-1849.Place:               Mexico; Yucatán.Year:                1686-1849Description:         1 volume (16 leaves) : paper ; 32 cmLanguage:            Mayan languages; Texts in Yucatec and Spanish.Abstract:            Miscellaneous legal documents from Mexico, 1686-1849. Seven of the sixteen folders of documents are from the Yucatan and presumably in Yucatec Maya, 1804/5-1849.Access:              http://libweb5.princeton.edu/visual_materials/gates/images/princetonmeso15.jpg Note:                Imagehttp://libweb.princeton.edu/libraries/firestone/rbsc/aids/princetonmeso Note:                Finding aid or folder listSUBJECT(S)Descriptor:          Land tenure -- Registration and transfer -- Mexico.Maya language -- Texts.Maya (Langue) -- Textes.Maya language.Genre/Form:          Manuscripts, SpanishManuscripts, Mayalegal documents.papers (documents)History.Sources.Texts.Unbound sheets (Binding) -- 17th century.Unbound sheets (Binding) -- 18th century.Unbound sheets (Binding) -- 19th century.Time:                1540-1810Geographic:          Mexico -- History -- Spanish colony, 1540-1810 -- Sources.Yucatán (Mexico : State) -- History.Mexique -- Histoire -- 1540-1810 (Colonie espagnole) -- Sources.Yucatán (Mexique : État) -- Histoire.Mexico.Mexico -- Yucatán (State)General Info:        Forms part of the Princeton Mesoamerican Collection (C0940). Preferred citation:  Princeton Mesoamerican Manuscripts, no. 15, Manuscripts Division, Dept. of Rare Books andSpecial Collections, Princeton University Library.Material Type:       Manuscript (mss)Document Type:       Book; Archival MaterialDate of Entry:       20030710Update:              20220624Accession No:        OCLC:                53269798Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	"Maya legal documents,1686-1849.Place"	^^^	^^^	1686-1849	1686	1 volume (16 leaves) : paper ; 32 cm	^^^	^^^	53269798	https://worldcat.org/oclc/53269798
	"Access:              http://libweb5.princeton.edu/mssimages/index.htmlAvailability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Garrett, Robert,max: 37Gates, William,max: 156Title:                Deed of sale for land by Joseph and Juan Chi :Ticul, Mexico, [1712 Mar. 13].Author(s):           Chi, Joseph.Chi, Juan.Garrett, Robert,; 1875-1961, ; donor.Gates, William,; 1863-1940, ; former owner.Place:               Mexico; Yucatán (State); Ticul.Year:                1712-03-13Description:         1 leaf : paper ; 30 x 21 cmIn:                  Robert Garrett Collection.Language:            Mayan languages; Text in Yucatec and Spanish.Abstract:            Deed of sale transferring land from Joseph and Juan Chi in Ticul, Mexico.Access:              http://libweb5.princeton.edu/mssimages/index.html Note:                Checklist of Mesoamerican ManuscriptsSUBJECT(S)Descriptor:          Land tenure -- Mexico -- Yucatán (State) -- 18th century.Mayas -- Land tenure -- Mexico -- Yucatán (State) -- 18th century.Maya languages -- Texts.Mayas -- Terres -- Mexique -- Yucatán (État) -- 18e siècle.Land tenure.Mayas -- Land tenure.Genre/Form:          Deeds.Manuscripts, Mayadeeds.papers (documents)History.Sources.Texts.Deeds.Actes formalistes.Time:                1700-1799Geographic:          Ticul (Mexico) -- History -- 18th century -- Sources.Mexico -- Ticul.Mexico -- Yucatán (State)Note(s):             ""42""--Written in pencil (modern) in upper right corner./ ""Documentos en Lenga Maya, 1712-1876"" and ""15-28""--Written in pen on cover./ ""Maya Documentos - Ms.""--Written in pen ontape spine.General Info:        Previously owned by William Gates; sold to Robert Garrett (purchased from William Gates in 1930); deposited by Garrett at the Institute of Advanced Studies at Princeton in 1942;removed from the Institute in 1949, at Garrett's request, and donated to the Princeton University Library./ Forms part of the Robert Garrett Collection (C0744). Preferred citation:  Garrett-GatesMesoamerican Manuscripts, no. 15, Manuscripts Division, Department of Rare Books and Special Collections, Princeton University Library.Other Titles:        Documentos en lenga Maya, 1712-1876; Maya documentos - MsMaterial Type:       Manuscript (mss)Document Type:       Book; Archival MaterialDate of Entry:       20011126Update:              20220723Accession No:        OCLC:                57525214Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	Deed of sale for land by Joseph and Juan Chi	"Chi, Joseph.Chi, Juan.Garrett, Robert,; 1875-1961, ; donor.Gates, William,; 1863-1940, ; former owner.Place"	^^^	1712-03-13	1712	1 leaf : paper ; 30 x 21 cmIn: Robert Garrett Collection.	^^^	^^^	57525214	https://worldcat.org/oclc/57525214
	"Access:              http://libweb5.princeton.edu/visual_materials/gates/images/gates15.jpgAvailability:        Check the catalogs in your library. Libraries worldwide that own item: 1 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Garrett, Robert,max: 37Gates, William,max: 156Title:                Deed of sale for land :Ticul, Mexico, 1712 Mar. 13.Author(s):           Garrett, Robert,; 1875-1961, ; donor.Gates, William,; 1863-1940, ; former owner.Place:               Mexico; Yucatán (State); Ticul.Year:                1712-03-13Description:         1 item (1 page) : paper ; 80 x 21 cmIn:                  Garrett Collection of Manuscripts in the Indigenous Languages of Middle America. 1500-1968Language:            Mayan languages; Text in Mayan-Yucatec and Spanish.Standard No:         Other:               Garrett 18, Yucatec Maya; Gates 15Abstract:            Deed of sale transferring land from Joseph and Juan Chi in Ticul, Mexico.Access:              http://libweb5.princeton.edu/visual_materials/gates/images/gates15.jpg Note:                Image of first pagehttp://libweb.princeton.edu/libraries/firestone/rbsc/aids/gates/ Note:                Finding aid or folder listhttp://libweb5.princeton.edu/masc/MascSearch.asp Note:                Search MASC (Manuscripts, Archives, and Special Collections), the database of the Dept. of Rare Books and Special Collections, tofind related materialSUBJECT(S)Descriptor:          Land tenure -- Mexico -- Yucatán (State) -- 18th century.Maya language -- Texts.Maya (Langue) -- Textes.Land tenure.Maya language.Genre/Form:          Deeds.deeds.papers (documents)HistorySources.Texts.Deeds.Actes formalistes.Time:                1700-1799Geographic:          Ticul (Mexico) -- History -- 18th century -- Sources.Mexico -- Ticul.Mexico -- Yucatán (State)Note(s):             Binding: in cloth box; housed with cardboard covers, removed./ ""42""--Written in pencil (modern) in upper right corner./ ""Documentos en Lenga Maya, 1712-1876"" and ""15-28""--Writtenin pen on cover./ ""Maya Documentos - Ms.""--Written in pen on tape spine.General Info:        Previously owned by William E. Gates; presented to Robert Garrett by William E. Gates./ Forms part of the Garrett Collection of Manuscripts in the Indigenous Languages of MiddleAmerica.Other Titles:        Documentos en lenga Maya, 1712-1876; Maya documentos - MsMaterial Type:       Manuscript (mss)Document Type:       Book; Archival MaterialDate of Entry:       20011126Update:              20220721Accession No:        OCLC:                54749811Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	1	Deed of sale for land	"Garrett, Robert,; 1875-1961, ; donor.Gates, William,; 1863-1940, ; former owner.Place"	^^^	1712-03-13	1712	1 item (1 page) : paper ; 80 x 21 cmIn: Garrett Collection of Manuscripts in the Indigenous Languages of Middle America. 1500-1968	^^^	^^^	54749811	https://worldcat.org/oclc/54749811
