Table 1
						
						
						
						
						
						
	sheet	search	hits	note	import date	
	^^^	"WorldCat results for: (kw: Logwood not mt: juv) not mt: fic and yr: 1500-1899 and la= ""eng"" and ((dt= ""bks"") or (dt= ""ser"") or (dt= ""vis"") or (dt= ""com"") or (dt= ""map"") or (dt= ""art"") or (dt= ""url"") or (dt= ""int"")). (Save Search) "	280 records		27 JULY 2022	
	^^^	"WorldCat results for: ((kw: tint# or kw: campeche) not mt: juv) not mt: fic and yr: 1500-1799 and la= ""spa"" and ((dt= ""bks"") or (dt= ""ser"") or (dt= ""vis"") or (dt= ""com"") or (dt= ""map"") or (dt= ""art"") or (dt= ""url"") or (dt= ""int"")). (Save Search) "	9735 records			
	^^^	"WorldCat results for: ((kw: logwood* or kw: log?wood*) not mt: juv) not mt: fic and yr: 1500-1899 and la= ""eng"" and ((dt= ""bks"") or (dt= ""ser"") or (dt= ""vis"") or (dt= ""com"") or (dt= ""map"") or (dt= ""art"") or (dt= ""url"") or (dt= ""int"")). (Save Search) "	280 records			
	^^^	"WorldCat results for: (kw: honduras not mt: juv) not mt: fic and yr: 1500-1799 and la= ""spa"" and ((dt= ""bks"") or (dt= ""ser"") or (dt= ""vis"") or (dt= ""com"") or (dt= ""map"") or (dt= ""art"") or (dt= ""url"") or (dt= ""int"")). (Save Search) "	303 records			
	^^^	"WorldCat results for: (kw: honduras not mt: juv) not mt: fic and yr: 1500-1799 and la= ""eng"" and ((dt= ""bks"") or (dt= ""ser"") or (dt= ""vis"") or (dt= ""com"") or (dt= ""map"") or (dt= ""art"") or (dt= ""url"") or (dt= ""int""))."	577 records			
	^^^	"WorldCat results for: ((kw: logwood* or kw: log?wood*) not mt: juv) not mt: fic and yr: 1500-1799 and la= ""eng"" and ((dt= ""bks"") or (dt= ""ser"") or (dt= ""vis"") or (dt= ""com"") or (dt= ""map"") or (dt= ""art"") or (dt= ""url"") or (dt= ""int""))."	203 records			
	^^^	"WorldCat results for: (((kw: yucat#an or kw: Campe?ch?) or kw: jucat#an) not mt: juv) not mt: fic and yr: 1500-1799 and la= ""eng"" and ((dt= ""bks"") or (dt= ""ser"") or (dt= ""vis"") or (dt= ""com"") or (dt= ""map"") or (dt= ""art"") or (dt= ""url"") or (dt= ""int"")). (Save Search) "	204 records			
	^^^	"WorldCat results for: (((((((kw: yucat#an or kw: campe?ch?) or kw: jucat#an) or kw: iucat#an) or kw: logwood*) or kw: log?wood*) or kw: honduras) not mt: juv) not mt: fic and yr: 1500-1799 and la= ""eng"" and (dt= ""bks"" or dt= ""ser"" or dt= ""vis"" or dt= ""com"" or dt= ""map"" or dt= ""art"" or dt= ""url"" or dt= ""int""). (Save Search)"	950 records			
	^^^	"WorldCat results for: (kw: mos?to* not mt: juv) not mt: fic and yr: 1500-1799 and la= ""eng"" and ((dt= ""bks"") or (dt= ""ser"") or (dt= ""vis"") or (dt= ""com"") or (dt= ""map"") or (dt= ""art"") or (dt= ""url"") or (dt= ""int"")). (Save Search)"	367 records			
	Eng 1133	"WorldCat results for: ((((((((kw: yucat#an or kw: campe?ch?) or kw: jucat#an) or kw: iucat#an) or kw: logwood*) or kw: log?wood*) or kw: honduras) or kw: mos?to*) not mt: juv) not mt: fic and yr: 1500-1799 and la= ""eng"" and (dt= ""bks"" or dt= ""ser"" or dt= ""vis"" or dt= ""com"" or dt= ""map"" or dt= ""art"" or dt= ""url"" or dt= ""int""). (Save Search)"	1133 records	27 JULY 2022		
	Fre 149	"WorldCat results for: (((kw: campec? or kw: hondur?) or kw: mos?to*) not mt: juv) not mt: fic and yr: 1500-1799 and la= ""fre"" and ((dt= ""bks"") or (dt= ""ser"") or (dt= ""vis"") or (dt= ""com"") or (dt= ""map"") or (dt= ""art"") or (dt= ""url"") or (dt= ""int"")). (Save Search) "	185 records	27 JULY 2022		
	Dut 90	"WorldCat results for: (((((((kw: campec? or kw: hondur?) or kw: mos?to*) or kw: campes?) or kw: campel?) not mt: juv) not mt: fic and yr: 1500-1799 and la= ""dut"" and (dt= ""bks"" or dt= ""ser"" or dt= ""vis"" or dt= ""com"" or dt= ""map"" or dt= ""art"" or dt= ""url"" or dt= ""int"")) not mt: juv) not mt: fic and yr: 1500-1799 and la= ""dut"" and ((dt= ""bks"") or (dt= ""ser"") or (dt= ""vis"") or (dt= ""com"") or (dt= ""map"") or (dt= ""art"") or (dt= ""url"") or (dt= ""int"")). (Save Search) "	90 records	27 July 2022		
		"WorldCat results for: (((kw: tint# or kw: campeche) or kw: honduras) not mt: juv) not mt: fic and yr: 1500-1799 and la= ""spa"" and (dt= ""bks"" or dt= ""ser"" or dt= ""vis"" or dt= ""com"" or dt= ""map"" or dt= ""art"" or dt= ""url"" or dt= ""int""). (Save Search) "	9993 records			
	Spaa 1418	"WorldCat results for: (((kw: tint# or kw: campeche) or kw: honduras) not mt: juv) not mt: fic and yr: 1500-1699 and la= ""spa"" and (dt= ""bks"" or dt= ""ser"" or dt= ""vis"" or dt= ""com"" or dt= ""map"" or dt= ""art"" or dt= ""url"" or dt= ""int""). (Save Search) "	1418 records	27 July 2022		
