Table 1
	CODE	HELD	TITLE	AUTHORS	PUBLISHER	YEAR	YEAR VAL	DESCRIPTION	SUBJECTS	NOTES	OCLC NO	OCLC CAT	
	"Database: WorldCatAvailability:                    Check the catalogs in your library. Libraries worldwide that own item: 18 Search the HOLLIS CatalogExternal Resources:              Cite This ItemFind Items About:                V., E.18Title:                            Europische Mercurius behelzende al het voornaamste 't geen in Europa is voorgevallen.Author(s):                       V., E.  (E.V.)Corp Author(s):                  (E.V.); Damme, Andries van (Amsterdam) ; (Printer)Publication:                     t'Amsterdam : by Andries van Damme ...,Year:                            1690-1739Description:                     1690-1739.; v. : ill. ; in-4.Language:                        DutchSUBJECT(S)Descriptor:                      15.70 history of Europe.Genre/Form:                      Chronologische overzichten (vorm)Geographic:                      Europa.Note(s):                         Ondertitel en impressum varieren./ Met reg.Other Titles:                    Europische Mercurius; Europische Mercurius berichtende de gesteltenissen der zaaken van staat en oorlog, in alle heerschappijen en landschappen van Europa; EuropischeMercurius; Europische Mercurius berichtende de gesteltenissen der zaaken van staat en oorlog, in alle heerschappijen en landschappen van EuropaPreceding Title:                 Hollantsche MercuriusSucceeding Title:                Nederlandsch gedenkboek of Europische MercuriusMaterial Type:                   Periodical (per)Document Type:                   SerialEntry:                           19830317Update:                          20211225Accession No:                    OCLC:                            72675856Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	18	Europische Mercurius behelzende al het voornaamste 't geen in Europa is voorgevallen.Author(s)	"V., E. (E.V.)Corp Author(s)"	"t'Amsterdam : by Andries van Damme ...,"	1690-1739	1690	1690-1739.; v. : ill. ; in-4.	^^^	^^^	72675856	https://worldcat.org/oclc/72675856	
	"Availability:                    Check the catalogs in your library. Libraries worldwide that own item: 13 Search the HOLLIS CatalogExternal Resources:              Cite This ItemTitle:                            Almanach voor het verstand en hart.Corp Author(s):                  Briët, Paul Etienne (Amsterdam) ; (Printer)Publication:                     Amsterdam : P.E. Briët,Year:                            1797-Frequency:                       Verschijnt 1 maal per jaarDescription:                     1797-....; v. ; 12 cm.Language:                        DutchReferences:                      Saakes 2 (1798),; p. 507 t/m 10 (1837), p. 383Contents:                        Bevat tevens: Mengelingen in proza en poëzySUBJECT(S)Descriptor:                      Almanacs, Dutch -- Periodicals.18.11 Dutch literature.01.49 general source material: other.Almanacs, Dutch.Genre/Form:                      Periodicals.Kalenders (vorm)Geographic:                      Nederland.Note(s):                         Later uitg. bij: Amsterdam : Timmer/ Later ook bij C. Schaares en J.P. HeukelomGeneral Info:                    Van 1806 o.d.t.: Almanak voor het verstand en hart/ 1807 o.d.t.: Zakboekje voor het verstand en hartOther Titles:                    Zakboekje voor het verstand en hart; Almanak voor het jaar ....; Almanak voor het verstand en hart; Mengelingen in proza en poëzy; Almanak voor het verstand enhart; Zakboekje voor het verstand en hartMaterial Type:                   Periodical (per)Document Type:                   SerialEntry:                           19851024Update:                          20220330Accession No:                    OCLC:                            72827920Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	13	Almanach voor het verstand en hart.Corp Author(s)	"Briët, Paul Etienne (Amsterdam) ; (Printer)Publication"	"Amsterdam : P.E. Briët,"	1797-Frequency: Verschijnt 1 maal per jaar	1797	1797-....; v. ; 12 cm.	^^^	^^^	72827920	https://worldcat.org/oclc/72827920	
	"Availability:                    Check the catalogs in your library. Libraries worldwide that own item: 13 Search the HOLLIS CatalogExternal Resources:              Cite This ItemTitle:                            Almanak ten dienste der zeelieden voor het jaar ... :waar by gevoegd zyn eene Verhandeling over het bepaalen der lengte op zee, en eene Verzameling van Tafelen.Corp Author(s):                  Kommissie tot het Examineren der Zee-officieren.Publication:                     Amsterdam : Hulst van Keulen,Year:                            1788-1886Frequency:                       Verscheen 1x per jaarDescription:                     1788-1886.; Niet verder verschenen.Language:                        DutchStandard No:                     Other:                           PA0038610; National Library:                1067080-4; 015983862; 10670804References:                      Hanou ; 3 : 92Note(s):                         Ondertitel varieert./ Saakes 5 (1810), p. 192 e.v./ 1820-1823, 1837-1886 uitgeg. door Wed. G. Hust van Keulen; 1824-1836: uitgeg. door Algemeene Landsdrukkerij,'s-Gravenhage./ 1005 Beschrijving gebaseerd op: 1788 (1788).General Info:                    Jrg. 1791 met suppl.: Verhandeling over de inrichting en het gebruik der octanten en sextanten van Hadley./ Tot 1820 o.d.t.: Almanach ten dienste der zeelieden.Other Titles:                    Almanach ten dienste der zeelieden; Verhandeling over de inrichting en het gebruik der octanten en sextanten van Hadley; Almanach ten dienste der zeeliedenPreceding Title:                 Almanach ten dienste der zeeliedenMaterial Type:                   Periodical (per)Document Type:                   SerialEntry:                           19860528Update:                          20141218Accession No:                    OCLC:                            72852397Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	13	Almanak ten dienste der zeelieden voor het jaar ...	Kommissie tot het Examineren der Zee-officieren.Publication	"Amsterdam : Hulst van Keulen,"	1788-1886Frequency: Verscheen 1x per jaar	1788	1788-1886.; Niet verder verschenen.	^^^	^^^	72852397	https://worldcat.org/oclc/72852397	
	"Availability:                    Check the catalogs in your library. Libraries worldwide that own item: 9 Search the HOLLIS CatalogExternal Resources:              Cite This ItemFind Items About:                De denker1Title:                            De denker.Corp Author(s):                  Houttuyn, Frans (erven, Amsterdam) ; (Printer); Tongerlo, Kornelis van (I, Amsterdam) ; (Printer); Houttuyn, Frans (Amsterdam) ; (Printer)Publication:                     Te Amsteldam, : by K. van Tongerlo en F. Houttuin,Year:                            1763-1774Frequency:                       Verschijnt wekelijksDescription:                     No. 1 (3 jan. 1763)-no. 626 (26 dec. 1774).; v. ; in-8.Language:                        DutchReferences:                      Buynsters (Checklist spectatoriale tijdschr.) 15; Buynsters (Spec. geschriften) 15; Hanou 169; po ; 1988-29/22SUBJECT(S)Descriptor:                      08.99 philosophy: other.Levenswijsheid.Kunst.Note(s):                         Impressum vanaf dl.4: te Amsterdam, by de erven van F. Houttuyn./ Van Doorninck, II,1051./ Onder red. van Nicolaas Bondt (1732-1792), Cornelius van Engelen e.a./Vertogen, doorl. genummerd./ Ook beschikbaar in microvorm.Succeeding Title:                De Nederlander [1775-1779]Material Type:                   Periodical (per)Document Type:                   SerialEntry:                           19830314Update:                          20200218Accession No:                    OCLC:                            905437903Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	9	De denker.Corp Author(s)	"Houttuyn, Frans (erven, Amsterdam) ; (Printer); Tongerlo, Kornelis van (I, Amsterdam) ; (Printer); Houttuyn, Frans (Amsterdam) ; (Printer)Publication"	"Te Amsteldam, : by K. van Tongerlo en F. Houttuin,"	1763-1774Frequency: Verschijnt wekelijks	1763	No. 1 (3 jan. 1763)-no. 626 (26 dec. 1774).; v. ; in-8.	^^^	^^^	905437903	https://worldcat.org/oclc/905437903	
	"Availability:                    Check the catalogs in your library. Libraries worldwide that own item: 7 Search the HOLLIS CatalogExternal Resources:              Cite This ItemTitle:                            Deventer calender of, Schrijfalmanach, volgens den nieuwen verbeterden Gregoriaanschen stijl.Author(s):                       Dapper, Bernardus Elias,; Medicus en mathematicus,; 1740-1792 fl. ; (Bibliographic antecedent)Dapper, Joannes,; 1744 fl. ; (Bibliographic antecedent)Dapper, Herbertus,; 1671-1736 fl. ; (Bibliographic antecedent)Corp Author(s):                  Lange, Jan de (Deventer) ; (Printer); Rah, Hend. Adolph (Deventer) ; (Printer); Vries, Marinus de (Deventer) ; (Printer); Lange, Jan Hendrik de (Deventer) ;(Printer); Vries, Enoch de (wed., Deventer) ; (Printer); Vries, Enoch de (Deventer) ; (Printer); Lange, Jan de (jr., Deventer) ; (Printer); Lange, Jan Hendrik de (Deventer) ; (Printer)Publication:                     Deventer : Enoch de Vries ; Deventer : wed. van E. de Vries ; Deventer : Harm. van Scheiden ; Deventer : Marinus de Vries ; Deventer : Hendrik Willem Bos ; Deventer :Jan de Lange ; Deventer : Hend. Adolph Rah ; Deventer : Jan Hendrik de Lange ; Deventer : Wed. J.H. de Lange en zoon ; Apeldoorn : Gebrs. van Staden.,Year:                            1678-Description:                     v. ; in-8.Language:                        DutchReferences:                      Hanou 252SUBJECT(S)Descriptor:                      Deventer.Almanakken.Note(s):                         Drukker ca. 1678-1679 Enoch de Vries, 1702-1750 wed. E. de Vries, 1751 Harm van Scheiden, 1752-1757 Marinus de Vries en Hend. Willem Bos, 1758-1761 Marinus de Vries,1762-1779 Jan de Lange, 1789-1791 Hend. Adolph Rah, 1792-1822 Jan Hendrik de Lange, 1823 Wed. J.H. de Lange en zoon; 1827-? J. de Lange; 1899?-1912? Jan de Lange; 1916?- 1960 Deventer Boek- enSteendrukkerij vroeger firma Jan de Lange./ Vanaf 1955 i.s.m. Apeldoorn : Gebrs. van Staden. - Vanaf 1961 alleen bij Apeldoorn: Gebrs. van Staden./ 1678-1738: auteur Herbert Dapper; 1738-1743: auteurJohan Dapper, vanaf 1744 auteur B. Elias Dapper.Other Titles:                    Deventersche calender of schrijfalmanach; Deventer calender of schrijfalmanak; Deventer almanak; Deventer calender, of schryf-almanach; Deventer almanach; Deventerschryf-calender, ofte almanach, volgens de Nieuwe verbeterden Gregoriaansen styl; Deventer almanak, naar den nieuwen verbeterden Gregoriaanschen stijl; Deventer calender of schrijfalmanak, ...Material Type:                   Periodical (per)Document Type:                   SerialEntry:                           19860924Update:                          20220124Accession No:                    OCLC:                            72862277Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	7	"Deventer calender of, Schrijfalmanach, volgens den nieuwen verbeterden Gregoriaanschen stijl.Author(s)"	"Dapper, Bernardus Elias,; Medicus en mathematicus,; 1740-1792 fl. ; (Bibliographic antecedent)Dapper, Joannes,; 1744 fl. ; (Bibliographic antecedent)Dapper, Herbertus,; 1671-1736 fl. ; (Bibliographic antecedent)Corp Author(s)"	"Deventer : Enoch de Vries ; Deventer : wed. van E. de Vries ; Deventer : Harm. van Scheiden ; Deventer : Marinus de Vries ; Deventer : Hendrik Willem Bos ; Deventer :Jan de Lange ; Deventer : Hend. Adolph Rah ; Deventer : Jan Hendrik de Lange ; Deventer : Wed. J.H. de Lange en zoon ; Apeldoorn : Gebrs. van Staden.,"	1678-	1678	v. ; in-8.	^^^	^^^	72862277	https://worldcat.org/oclc/72862277	
	"Availability:                    Check the catalogs in your library. Libraries worldwide that own item: 8 Search the HOLLIS CatalogExternal Resources:              Cite This ItemTitle:                            Naamregister van de Ed. Mog. Heeren gecommitteerde raden in de collegien ter Admiraliteit als mede de E.E. Heeren Bewindhebberen van de Oost- en West-IndischeCompagnie in alle de steden der Provintien van Holland, Zeeland, Vriesland enz. :nevens de bedienden der zelve.Corp Author(s):                  Bos, Gerrit (Amsterdam) ; (Printer); Ottens, Reinier (II, Amsterdam) ; (Printer); Schouten, Josua (Amsterdam) ; (Printer)Publication:                     Amsterdam : Gerrit Bos,Year:                            1729-1794Description:                     v. ; in-12.Language:                        DutchNote(s):                         Titel varieert./ Later uitg.: Amsterdam : Gerrit Bos en Cornelis Wilt (1748-1754); Amsterdam : Cornelis Wilt (1755-1765); Amsterdam : Petrus Schouten en ReinierOttens (1766-1789?); Amsterdam : Wed. Petrus Schouten en Reinier Ottens (1790); Amsterdam : Reinier Ottens en Josia Schouten (1791-....).Material Type:                   Periodical (per)Document Type:                   SerialEntry:                           19880227Update:                          20161028Accession No:                    OCLC:                            72924811Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	8	"Naamregister van de Ed. Mog. Heeren gecommitteerde raden in de collegien ter Admiraliteit als mede de E.E. Heeren Bewindhebberen van de Oost- en West-IndischeCompagnie in alle de steden der Provintien van Holland, Zeeland, Vriesland enz."	"Bos, Gerrit (Amsterdam) ; (Printer); Ottens, Reinier (II, Amsterdam) ; (Printer); Schouten, Josua (Amsterdam) ; (Printer)Publication"	"Amsterdam : Gerrit Bos,"	1729-1794	1729	v. ; in-12.	^^^	^^^	72924811	https://worldcat.org/oclc/72924811	
	"Availability:                    Check the catalogs in your library. Libraries worldwide that own item: 6 Search the HOLLIS CatalogExternal Resources:              Cite This ItemFind Items About:                Hoefnagel, Nicolaas,max: 12Title:                            De naamlooziana, of Vertoog zonder naam, over vraagen zonder vinding :zynde iets over alles, getrokken uit de aantekeningen van ymand, gemaakt op elk, en toepaslyk op niets; voorgegaan door een opdracht aan niemand /Author(s):                       Hoefnagel, Nicolaas,; 1735-1784.Corp Author(s):                  Philips Jz., Caspar (Amsterdam) ; (Printer)Publication:                     Te Amsteldam, : by C. Philips ...,Year:                            1772Frequency:                       Verschijnt wekelijks tussen maart en oktober 1772Description:                     No. 1 (maart, 1772)-no. 29 (oktober, 1772).; v. : ill. ; in-8.Language:                        DutchContents:                        Humoristisch spectatoriaal tijdschrift, met o.a. 5 afl. over de Amsterdamse Schouwburgbrand van 11 mei 1772.Note(s):                         Toegeschreven aan Nicolaas Hoefnagel e.a.Other Titles:                    naamloozianaResponsibility:                  Met ongelooflyke moeite en kosten byëengeschraapt, gecorrigeert en gereviseert door het Genootschap van de zevenstar, gezegd Het naamlooze twee-stuivers collegie.Material Type:                   Periodical (per)Document Type:                   SerialEntry:                           19850124Update:                          20220121Accession No:                    OCLC:                            72788146Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	6	"De naamlooziana, of Vertoog zonder naam, over vraagen zonder vinding"	"Hoefnagel, Nicolaas,; 1735-1784.Corp Author(s)"	"Te Amsteldam, : by C. Philips ...,"	1772Frequency: Verschijnt wekelijks tussen maart en oktober 1772	1772	"No. 1 (maart, 1772)-no. 29 (oktober, 1772).; v. : ill. ; in-8."	^^^	^^^	72788146	https://worldcat.org/oclc/72788146	
	"Availability:                    Check the catalogs in your library. Libraries worldwide that own item: 5 Search the HOLLIS CatalogExternal Resources:              Cite This ItemTitle:                            Ismaël :zijn hand zal tegen allen zijn en de hand van allen tegen hem.Corp Author(s):                  Onnekink, Barend (Leiden) ; (Printer); Meerburg, Jacob (Leiden) ; (Printer); Keyzer, Harmanus (Amsterdam) ; (Printer); Brink Gerritsz, Jan ten (Amsterdam) ;(Printer); La Croix, J.P. de (Brussel) ; (Printer); Bohn, François (Haarlem) ; (Printer); Aa, Cornelis van der (Haarlem) ; (Printer); Visch, Justus (Utrecht) ; (Printer); Paddenburg, Gijsbert Tiemevan (Utrecht) ; (Printer); Klis, Willem ('s-Gravenhage) ; (Printer); Klis, Jacobus ('s-Gravenhage) ; (Printer); Brouwer, Gerrit (Deventer) ; (Printer); Clement, Simon (Zwolle) ; (Printer); Clement,François (II, Zwolle) ; (Printer); Wijnands, Wijnand (Amsterdam) ; (Printer)Publication:                     [S.l.] : [s.n.],Year:                            1788-1789Frequency:                       Verschijnt wekelijksDescription:                     No. 1 (28 juli 1788)-no. 9 (22 sep. 1788) ; no. 27 (26 jan. 1789) - no. 29 (9 febr. 1789).; v. ; in-4.Language:                        DutchReferences:                      Hanou 224. Buynsters (Satirische tijdschr.) 22Note(s):                         De afleveringen hebben colofons met wisselende lijsten boekverkopers./ Satyrisch-politiek tijdschrift, door J. Kinker e.a./ Weekblad. No. 1.1788 (28 juli) - 29.1789(9 feb.).Preceding Title:                 Janus : 1747-1787 : suum cuique; JanusMaterial Type:                   Periodical (per)Document Type:                   SerialEntry:                           19841019Update:                          20201207Accession No:                    OCLC:                            72728588Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	5	Ismaël	"Onnekink, Barend (Leiden) ; (Printer); Meerburg, Jacob (Leiden) ; (Printer); Keyzer, Harmanus (Amsterdam) ; (Printer); Brink Gerritsz, Jan ten (Amsterdam) ;(Printer); La Croix, J.P. de (Brussel) ; (Printer); Bohn, François (Haarlem) ; (Printer); Aa, Cornelis van der (Haarlem) ; (Printer); Visch, Justus (Utrecht) ; (Printer); Paddenburg, Gijsbert Tiemevan (Utrecht) ; (Printer); Klis, Willem ('s-Gravenhage) ; (Printer); Klis, Jacobus ('s-Gravenhage) ; (Printer); Brouwer, Gerrit (Deventer) ; (Printer); Clement, Simon (Zwolle) ; (Printer); Clement,François (II, Zwolle) ; (Printer); Wijnands, Wijnand (Amsterdam) ; (Printer)Publication"	"[S.l.] : [s.n.],"	1788-1789Frequency: Verschijnt wekelijks	1788	No. 1 (28 juli 1788)-no. 9 (22 sep. 1788) ; no. 27 (26 jan. 1789) - no. 29 (9 febr. 1789).; v. ; in-4.	^^^	^^^	72728588	https://worldcat.org/oclc/72728588	
	"Availability:                    Check the catalogs in your library. Libraries worldwide that own item: 7 Search the HOLLIS CatalogExternal Resources:              Cite This ItemTitle:                            De Vaderlander.Corp Author(s):                  Houttuyn, Frans (erven, Amsterdam) ; (Printer); Plaats, Volkert van der (Jr., Harlingen) ; (Printer); Plaats, Folkert van der (Harlingen) ; (Printer); Chalmot, A. de(Leeuwarden) ; (Printer); Toll, Jan Arnout van (Utrecht) ; (Printer); Paaynaar, Jan de (II, Vlissingen) ; (Printer); Gillissen, Pieter (Middelburg) ; (Printer); Arrenberg, Reinier (Rotterdam) ;(Printer); Vijgh, Daniel (Leiden) ; (Printer); Eyk, Pieter van der (II, Leiden) ; (Printer); Thierry, Johannes ('s-Gravenhage) ; (Printer); Smout, Egbert van der (Delft) ; (Printer); Bosch, Jan(Haarlem) ; (Printer); Blussé, Abraham (Dordrecht) ; (Printer); Troost, Wouter (Arnhem) ; (Printer); Zeylstra, R. (Sneek) ; (Printer); Huyzing, L. (Groningen) ; (Printer); Wolfsen, Hendrik(Nijmegen) ; (Printer)Publication:                     Te Amsterdam. : By de erven van F. Houttuyn, by de ervan van F Houttuyn ... Nijmegen, by H. Wolfsen, Arnhem W. Troost, Dordrecht A. Blusse, Haarlem J. Bosch, Delft E.v.d. Smout, 's Gravenhage J. Thierry, Leiden P. v.d. Eik en D. Vygh, Rotterdam R. Arrenberg, Middelburg P. Gillessen, Vlissingen P. de Payenaar, Utrecht J.A. van Toll en comp. Leeuwarden H.A. deChalmot, Harlingen F. v.d. Plaats, en junior, Sneek R. Zeylstra, en Groningen L. Huyzing)Year:                            1775-1778Frequency:                       Verschijnt wekelijksDescription:                     No. 1 (2 jan. 1775)-no. 209 (28 dec. 1778).; v. ; 22 cm.Language:                        DutchReferences:                      Hanou 5411. Buyns 566; BuynC ; 566SUBJECT(S)Descriptor:                      18.11 Dutch literature.Bellettrie.Toneel.Genre/Form:                      General periodicalGeographic:                      Nederland.Note(s):                         Verschijnt in 4 dln.: dl. 1 (1776) - dl. 4 (1779).General Info:                    Niet verder verschenen.Material Type:                   Periodical (per)Document Type:                   SerialEntry:                           19830726Update:                          20200218Accession No:                    OCLC:                            905579628Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	7	De Vaderlander.Corp Author(s)	"Houttuyn, Frans (erven, Amsterdam) ; (Printer); Plaats, Volkert van der (Jr., Harlingen) ; (Printer); Plaats, Folkert van der (Harlingen) ; (Printer); Chalmot, A. de(Leeuwarden) ; (Printer); Toll, Jan Arnout van (Utrecht) ; (Printer); Paaynaar, Jan de (II, Vlissingen) ; (Printer); Gillissen, Pieter (Middelburg) ; (Printer); Arrenberg, Reinier (Rotterdam) ;(Printer); Vijgh, Daniel (Leiden) ; (Printer); Eyk, Pieter van der (II, Leiden) ; (Printer); Thierry, Johannes ('s-Gravenhage) ; (Printer); Smout, Egbert van der (Delft) ; (Printer); Bosch, Jan(Haarlem) ; (Printer); Blussé, Abraham (Dordrecht) ; (Printer); Troost, Wouter (Arnhem) ; (Printer); Zeylstra, R. (Sneek) ; (Printer); Huyzing, L. (Groningen) ; (Printer); Wolfsen, Hendrik(Nijmegen) ; (Printer)Publication"	"Te Amsterdam. : By de erven van F. Houttuyn, by de ervan van F Houttuyn ... Nijmegen, by H. Wolfsen, Arnhem W. Troost, Dordrecht A. Blusse, Haarlem J. Bosch, Delft E.v.d. Smout, 's Gravenhage J. Thierry, Leiden P. v.d. Eik en D. Vygh, Rotterdam R. Arrenberg, Middelburg P. Gillessen, Vlissingen P. de Payenaar, Utrecht J.A. van Toll en comp. Leeuwarden H.A. deChalmot, Harlingen F. v.d. Plaats, en junior, Sneek R. Zeylstra, en Groningen L. Huyzing)"	1775-1778Frequency: Verschijnt wekelijks	1775	No. 1 (2 jan. 1775)-no. 209 (28 dec. 1778).; v. ; 22 cm.	^^^	^^^	905579628	https://worldcat.org/oclc/905579628	
	"Availability:                    Check the catalogs in your library. Libraries worldwide that own item: 6 Search the HOLLIS CatalogExternal Resources:              Cite This ItemFind Items About:                Examinator14Title:                            Examinator.Corp Author(s):                  Strik, Hendrik (Amsterdam) ; (Printer); Elama, Gesina (Groningen) ; (Printer); Charlois, Melchior Leonard (Utrecht) ; (Printer); Duyn, Jacob (Hoorn) ; (Printer);Beyeren, Jan van (Alkmaar) ; (Printer); Boitet, Reinier (Delft) ; (Printer); Winterswijk, Gerardus ('s Gravenhage) ; (Printer); Staal, J. (Gouda) ; (Printer); Willis, Arnold (Rotterdam) ; (Printer);Bos, Nicolaas (wed., Rotterdam) ; (Printer); Knotter, Gillis de (Leiden) ; (Printer); Overstraaten, E. van (Bergenopzoom) ; (Printer); Terpstra, R. (Franeker) ; (Printer); Thijssens, Johannes(Leeuwarden) ; (Printer); Rubert, Abraham (wed., Middelburg) ; (Printer)Publication:                     Te Amsterdam, : by Hendrik Strik ..., by Hendrik Strik, Haarlem M. van Lee, Leiden Knotter, Rotterdam weduwe N. Bos en A. Willis, Gouda Staal, Hage J. Winterswyk,Delft Reynier Boitet, Alkmaar J. van Beyeren, Hoorn J. Duyn, Utrecht Charlois, Middelburg weduwe Rubert, Leeuwaarden Thyssens, Franeker R. Terpstra, Groningen wed. Barlinkhof, Bergenopzoom E. vanOverstraaten ...)Year:                            1718-1720Frequency:                       Verschijnt wekelijksDescription:                     1718, no. 1 (8 aug.)-1720, no. 52 (2 sep.).; v. ; in-8.Language:                        DutchOther Titles:                    Examinator, door dewelke de waare grenscheidingen der wetenschappen en konsten, mitsgaders de vermogens des menschelyken geestes onderzocht en afgeperkt worden;Examinator, door dewelke de waare grenscheidingen der wetenschappen en konsten, mitsgaders de vermogens des menschelijken geestes onderzocht en afgeperkt worden. De schijndeugd, waarschynlykheid,dwalingen zo wel zommiger geleerden als des volks, als ook de kwade gewoontens en hedendaagze bedorvene zeeden uit haare grond-oorzaaken ontdekt, en na 't leven afgeschildert worden (spellingvarieert enigszins)Material Type:                   Periodical (per)Document Type:                   SerialEntry:                           19830317Update:                          20210219Accession No:                    OCLC:                            72675864Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	6	Examinator.Corp Author(s)	"Strik, Hendrik (Amsterdam) ; (Printer); Elama, Gesina (Groningen) ; (Printer); Charlois, Melchior Leonard (Utrecht) ; (Printer); Duyn, Jacob (Hoorn) ; (Printer);Beyeren, Jan van (Alkmaar) ; (Printer); Boitet, Reinier (Delft) ; (Printer); Winterswijk, Gerardus ('s Gravenhage) ; (Printer); Staal, J. (Gouda) ; (Printer); Willis, Arnold (Rotterdam) ; (Printer);Bos, Nicolaas (wed., Rotterdam) ; (Printer); Knotter, Gillis de (Leiden) ; (Printer); Overstraaten, E. van (Bergenopzoom) ; (Printer); Terpstra, R. (Franeker) ; (Printer); Thijssens, Johannes(Leeuwarden) ; (Printer); Rubert, Abraham (wed., Middelburg) ; (Printer)Publication"	"Te Amsterdam, : by Hendrik Strik ..., by Hendrik Strik, Haarlem M. van Lee, Leiden Knotter, Rotterdam weduwe N. Bos en A. Willis, Gouda Staal, Hage J. Winterswyk,Delft Reynier Boitet, Alkmaar J. van Beyeren, Hoorn J. Duyn, Utrecht Charlois, Middelburg weduwe Rubert, Leeuwaarden Thyssens, Franeker R. Terpstra, Groningen wed. Barlinkhof, Bergenopzoom E. vanOverstraaten ...)"	1718-1720Frequency: Verschijnt wekelijks	1718	"1718, no. 1 (8 aug.)-1720, no. 52 (2 sep.).; v. ; in-8."	^^^	^^^	72675864	https://worldcat.org/oclc/72675864	
