Table 1
	CODE	HELD	TITLE	AUTHORS	PUBLISHER	YEAR	YEAR VAL	DESCRIPTION	SUBJECTS	NOTES	OCLC NO	OCLC CAT	
	Access:                   http://catalogue.bnf.fr/ark:/12148/cb34387819dAvailability:             Check the catalogs in your library. Libraries worldwide that own item: 6 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:                     [L Accusateur public].Publication:              Paris : Accusateur public.Year:                     1793-1798Language:                 FrenchStandard No:              ISSN:                     0755-8333; National Library:         FRBNF343878190000005Access:                   Materials specified:      Notice et cote du catalogue de la Bibliothèque nationale de Francehttp://catalogue.bnf.fr/ark:/12148/cb34387819dNote(s):                  Plusieurs cotes pour des editions differentes : 8 Lc2 842 A a E. Conserve ala Reserve.Class Descriptors:         Dewey: 324.094 4; 944Other Titles:             Accus. public; L Accusateur publicMaterial Type:            Periodical (per)Document Type:            SerialEntry:                    19840314Update:                   20170428Accession No:             OCLC:                     474035455Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	6	[L Accusateur public].Publication	^^^	Paris : Accusateur public.	^^^	1	^^^	^^^	Plusieurs cotes pour des editions differentes : 8 Lc2 842 A a E. Conserve ala Reserve.	474035455	https://worldcat.org/oclc/474035455	
	"Availability:             FirstSearch indicates your institution owns the item. Libraries worldwide that own item: 5    Harvard University   Search the HOLLIS CatalogExternal Resources:       Cite This ItemFind Items About:         Journal politique5Title:                     Journal politique.Publication:              Leyde, E. Luzac.Year:                     1700s-?Language:                 FrenchNote(s):                  Commonly known as Gazette de Leyde.Class Descriptors:         LC: D901Other Titles:             Gazette de Leyde.; Nouvelles extraordinaires de divers.; Nouvelles politiques.; Title varies: 1765-May 4, 1798, Nouvelles extraordinaires de divers endroits; May 11,1798-Oct. 5, 1804, Nouvelles politiques.Material Type:            Newspaper (new)Document Type:            SerialEntry:                    19751101Update:                   20190831Accession No:             OCLC:                     1773913Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	^^^	Journal politique.Publication	^^^	"Leyde, E. Luzac."	^^^	1	^^^	^^^	Commonly known as Gazette de Leyde.	1773913	https://worldcat.org/oclc/1773913	
	"Access:                   http://books.google.ch/books?vid=BCULVD2273638Availability:             Check the catalogs in your library. Libraries worldwide that own item: 4 Search the HOLLIS CatalogExternal Resources:       Cite This ItemTitle:                     [Recueil de thèses d'étudiants et de candidats aux chaires des académies de Berne et de Lausanne].Publication:              Bernae : [éd. divers]Year:                     1721-1751Language:                 French (Hide non-Roman characters)Contents:                 [1]: Α.Ω. Dissertatio historico-theologica exhibens fontes & connexionem errorum, sive, Πρώτα ψεύδη et errores per concatenationem inde deductos, qui a Judaeis,haereticis primorum seculorum, pelagio-arminianis, socinianis, pontificiis & anabaptistis committuntur ... in illustri Bernatum Academia theologo primario ... [1735] / [praeses: Ringier, JohannHeinrich ; respondens: Stapfer, Johann Friedrich] [2]: בעהי Jobel, seu, De jubilaeo mosaico & christiano schediasma philologico-theologicum, quod ingruente jubilaeo reformationis patriae ...[1728] / [praeses: Scheurer, Samuel ; respondentes: Baey, Abraham, Musculus, Beat. Lud.] [3]: בשמא דמימרא דײ Observationes miscellae theologico-philologicae ... [1732] / [praeses:Scheurer, Samuel ; respondens: Gruner, Johann Rudolf] [9]: Α.Ω. Disquisitio historico-philologica, exhibens nexum & comparationem inter coronam justitiae & coronas laureas veterum, adillustrationem loci 2. Tim. IV. vs. 8. ... 1736 / [praeses: Altmann, Johann Georg ; respondens: Ernst, Samuel (1717-1793)][4]: Dissertatio chronologico-theologica, de illustri veritatis Christianaeargumento ex computo, hebdomadum septuaginta Danielis cap. IX. 24 & seqq. ... 1730 / [praeses: Scheurer, Samuel ; respondens: König, Samuel (1671-1750)]; [5]: Tentamen de literarum, potiusliteratorum, naevis ... [1730] / [praeses: Scheurer, Samuel ; respondens: Arnay, Jean-Rodolphe d']; [7]: Exercitatio literaria, sive, Observationes philologico-criticae, ad varia sacra & profana locaex Antiquitate illustranda ... 1721 / [praeses: Lauffer, Jacob (1688-1734) ; respondens: Altmann, Johann Georg]; [8]: Dissertatio philosophico-politica, sistens curam magistratus de otio e republicatollendo Joh. Jacobus Wolfius ... [1737] / [praeses: Altmann, Johann Georg ; respondens: Wolf, Johann Jakob]Access:                   Materials specified:      Texte intégralhttp://books.google.ch/books?vid=BCULVD2273638 Note:                     Googlos 2007-2009Note(s):                  Ex-libris ms.: E.L. Chavane, V.D.M. 1753./ [6]: Oratio de antiqua Helvetia Graecissante, cum ordinariam linguae Graecae & ethices cathedram in Academia Bernensi capesserethabita ... [1735] / [Altmann, Johann Georg]/ [10]: Bono cum Deo, summi magistratus autoritate, ampliss. senatus academici decreto, pro cathedra theologica, in Academia Lausannensi rite consequenda... [1726] / [candidats: Rosset, Benjamin, Salchli, [Jean] Jacob (ca.1695-1774), Crassous, Johann, Egger, Johann, Altmann, Johann Georg, Delosea, Jacob, Trey, César de]/ [11]: Q.D.T.O.M.B.V. Jussusummi magistratus ex arbitrio amplissimi senatus academici pro vacante cathedra theologica, in illustrissimae Reip. Bernensis Acad. Lausannensi ... [1748] / [candidats: Stapfer, Friedrich, Viret,Gabriel, Rosset, J.-Alphonse [Jean-Alphonse?], Kocher, David, Bournet, Pierre, Pavillard, Daniel, Stapfer, Johann, Henchoz, Gabriel]/ [12]: Bono cum Deo, Jubente magistratu summo, ordinanteamplissimo senatu academico, pro vacante cathedra elenchtico-theologica in Academia Lausannensi rite consequenda ... [1751] / [candidats: Secrétan, Jean-Pierre (1701-1761), Sprungli, Daniel,Salchli, Jean [Jacob] (ca.1695-1774), Kocher, David, Pavillard, Daniel, Quiros, Hyacinthe Bernal de, Sprüngli, Abraham, Bertrand, Elie (1713-1797), Bournet, Pierre, Ernst, Johann Rudolf, Bons, Louisde, Vögeli, Gottlieb (?-1762), Perey, Jean-Pierre, Viret, Gabriel, Vernet, Jean-Jacques [Vernet, Jacob (1698-1789)?], Allamand, François-Louis, Wagner, David Gabriel]/ [13]: Bono cum Deo, Summimagistratus autoritate, ampliss. senatus academici decreto, pro cathedra philosophica, in Academia Lausannensi rite consequenda ... [1726] / [candidats: Crassous, Johann, Mullenen, Rodolphus von,Treytorrens, François-Frédéric de, Crousaz, Abraham de, Dufresne, Jacob-Samuel, Suter, Jakob, Barnaud, Barthélémy, Dunki, Johannes [Dünki, Johann?]]/ [14]: EI. Summi magistratus autoritate,ampliss. senatus academici decreto, pro cathedra philosophica, in Academia Bernensi rite consequenda ... [1728] / [candidats: Lauffer, Jacob (1688-1734), Treytorrens, François-Frédéric de, Gryph,Johann-Jakob, Egger, Johann, Hollard, Alexandre, Rodoph, Daniel [Rudolf, Daniel (?-1732)?], Maerki, David, Zehender, Jacob [Zehender, Johann Jakob (1687-1766)?], Malacrida, Elisaeus, Brunner,Nicolaus [Brunner, Niklaus (-1745)?]]/ [15]: Q.D.B.V. Jussu & auctoritate illustrissimi magistratus Reipublicae Bernensis, et ex amplissimi senatus academici praescripto & decreto pro vacua inAcademia Lausannensi cathedra philosophica ... in majori auditorio academico Bernensi ... [1738] / [candidats: Perey, Jean-Pierre, Moulin de Montagni, Joseph-François du, König, Samuel (1671-1750),Bernoulli, Jean [Bernoulli, Jean (1710-1790)?], Wolff, Jacobus [Wolff, Jakob?], Blauner, Nicolaus, Kocher, Jakob, Pavillard, Daniel, Wyttenbach, Daniel (1706-1779), Aechler, Albert]/ [16]:Q.D.T.O.M.B.V. Jubente summo magistratu amplissimo senatu academico decernente, vacante cathedra eloquentiae, in utraque Bernatum tum ipsa Bernensi tum Lausannensi Academia pro alterutra ergo riteconsequenda ... in Colegii Bernensis ... [1734] / [candidats: Sprüngli, Franz Ludwig, Barnaud, Barthélémy, Brunner, Nicolaus [Brunner, Niklaus (-1745)?], Malacrida, Elisaeus, Schmid, Samuel,Hybnerus, Joannes Rudolphus, Pavillard, Daniel, Altmann, Johann Georg, Graaff, Abrahamus [Graf, Abraham David (?- 1749)?], Perey, Jean-Pierre, Haller, Albrecht von (1708-1777), Arnay, Jean-Rodolphed', Brunner, Johann Rudolf (1698-1752)]/ [17]: Q.D.F.F.Q.E.I. Jussu & auctoritate illustrissimi magistratus ex amplissimi senatus academici decreto pro vacua cathedra eloquent. et histor. in AcademiaBernensi ... [1737] / [candidats: Brunner, Nicolaus [Brunner, Niklaus (-1745)?], Kilchberger, Johannes Fridericus, Wolf, Johann Jakob, Suter, Samuel, Graff, Abrahamus [Graf, Abraham David (?-1749)?], Schmid, Samuel, Zehender, Jacobus [Zehender, Johann Jakob (1687-1766)?], Stettler, Hieronymus (?-1757), Kocher, Johann Jakob, Fischer, Johann Rudolf]/ [18]: Q.D.T.O.M.B.V. Jussu &authoritate summi magistratus ex amplissimi senatus academici decreto pro vacante cathedra ethico-Graeca in illustri Bernatum, quae Lausannae est, Academia rite consequenda ... [1734] / [candidats:Dapples, Jean-François, Brunner, Johann Rudolf (1698-1752), Graff, Abrahamus [Graf, Abraham David (?- 1749)?], Joh. Petrus du Maine, Altmann, Johann Georg, Brunner, Nicolaus [Brunner, Niklaus(-1745)?], Arnay, Jean-Rodolphe d', Schmid, Samuel, Jacaud, Hieronymus Nic. [Jacot, Jérôme Nicolas?]]/ [19]: Bono cum Deo, Summi magistratus authoritate, amplissimi senatus academici decreto, provacante cathedra juridica, in illustri Bernatum Academia rite consequenda ... [1748] / [candidats: Lerber, Sigismond Louis (1723-1783), Rosselet, Carl Emanuel (1719-1786), Vicat, Béat-Philippe]Material Type:            Periodical (per); Internet resource (url)Document Type:            Serial; Internet ResourceDate of Entry:            20070627Update:                   20190319Accession No:             OCLC:                     1039741684Provider:        OCLCDatabase:                 WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	4	[Recueil de thèses d'étudiants et de candidats aux chaires des académies de Berne et de Lausanne].Publication	^^^	Bernae : [éd. divers]	^^^	1	^^^	^^^	^^^	1039741684	https://worldcat.org/oclc/1039741684	
	"Availability:        FirstSearch indicates your institution owns the item. Libraries worldwide that own item: 2    Harvard University   Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:                Tableau de la France et de l'Europe,ou Journal de tous les pays.Publication:         Paris.Year:                1797-?Language:            FrenchNote(s):             See Bibliog. de la presse périod. fr., par E. Hatin, p. 261.Material Type:       Periodical (per)Document Type:       SerialEntry:               19960115Update:              20170302Accession No:        OCLC:                612670625Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	^^^	"Tableau de la France et de l'Europe,ou Journal de tous les pays.Publication"	^^^	Paris.	^^^	1	^^^	^^^	^^^	612670625	https://worldcat.org/oclc/612670625	
	"Availability:        FirstSearch indicates your institution owns the item. Libraries worldwide that own item: 2    Harvard University   Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:                Tablettes historiques.Publication:         [Paris]Year:                1797-?Language:            FrenchNote(s):             See Bibliog. de la presse périod. fr., par E. Hatin, p. 275.Material Type:       Periodical (per)Document Type:       SerialEntry:               19960115Update:              20170302Accession No:        OCLC:                612670603Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	^^^	Tablettes historiques.Publication	^^^	[Paris]	^^^	1	^^^	^^^	^^^	612670603	https://worldcat.org/oclc/612670603	
	"Availability:        FirstSearch indicates your institution owns the item. Libraries worldwide that own item: 2    Harvard University   Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:                Tableau de Paris, courier universel.Publication:         [Paris]Year:                1797-?Language:            FrenchNote(s):             After no 286, the sub-title is dropped./ See Bibliog. de la presse périod. fr., par E. Hatin, p. 267.Material Type:       Periodical (per)Document Type:       SerialEntry:               19960115Update:              20170302Accession No:        OCLC:                612670792Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	^^^	"Tableau de Paris, courier universel.Publication"	^^^	[Paris]	^^^	1	^^^	^^^	^^^	612670792	https://worldcat.org/oclc/612670792	
	"Availability:        Check the catalogs in your library. Libraries worldwide that own item: 2 Search the HOLLIS CatalogExternal Resources:  Cite This ItemFind Items About:    Le papillon12Voltaire31,275Paradis de Tavannes, Nicolas Hyacinthe2Title:                Le papillonAuthor(s):           VoltaireBickerstaf, SamuelParadis de Tavannes, Nicolas HyacinthePublication:         Berlin : Grynæus,Year:                1700sLanguage:            FrenchContents:            Lettres apologetiques : dans les quelles on justifie la religion et la probité / de Monsieur Arouet de Voltaire contre les repoches des ses Ennemis ; avec la lettre de sirSamuel Bickerstaf ... Londres : chez D. Barow, 1756. -- 40 s. Essais sur l'art de s'énoncer et d'écrire corectement / par l'auteur du Citoien [i.e. : Nicolas Hyacinthe Paradis de Tavannes] Berlin: Birnstiel, 1755. -- 16 s. Le Citoyen / [Nicolas Hyacinthe Paradis de Tavannes] Berlin : Klüver, 1755. -- No. 1-12 Histoire de Nicolas I. Roy de Paraguai, et Empereur des Mamelus Saint Paul, 1756.-- 117 s.Document Type:       SerialEntry:               19000000Update:              20210508Accession No:        OCLC:                488637207Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	2	Le papillonAuthor(s)	"VoltaireBickerstaf, SamuelParadis de Tavannes, Nicolas HyacinthePublication"	"Berlin : Grynæus,"	^^^	1	^^^	^^^	^^^	488637207	https://worldcat.org/oclc/488637207	
	"Availability:        FirstSearch indicates your institution owns the item. Libraries worldwide that own item: 2    Harvard University   Search the HOLLIS CatalogExternal Resources:  Cite This ItemTitle:                Correspondance patriotique, entre les citoyens qui ont été membres de l'Assemblée nationale constituante.Publication:         Paris.Year:                1791-?Language:            FrenchNote(s):             See Bibliog. de la presse périod. fr., par E. Hatin, p. 206.Material Type:       Periodical (per)Document Type:       SerialEntry:               19941107Update:              20170302Accession No:        OCLC:                235603387Provider:        OCLCDatabase:            WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	^^^	"Correspondance patriotique, entre les citoyens qui ont été membres de l'Assemblée nationale constituante.Publication"	^^^	Paris.	^^^	1	^^^	^^^	^^^	235603387	https://worldcat.org/oclc/235603387	
	"Availability:                    FirstSearch indicates your institution owns the item. Libraries worldwide that own item: 1    Harvard University   Search the HOLLIS CatalogExternal Resources:              Cite This ItemTitle:                            L'Avant-garde de l'armée des Pyrénées orientales.Author(s):                       Bussat, Romarin, ; editor.Publication:                     Perpignan.Year:                            1794Language:                        FrenchNote(s):                         For a history of this periodical, see Hatin, E.: Bibliog. de la presse périod. franç., pp. 244-245./ For continuation see Journal de l'armée des Pyrénéesorientales. (call-no. Fr 1325.745).Responsibility:                  Redigé par Romarin Bussat.Material Type:                   Periodical (per)Document Type:                   SerialEntry:                           19940914Update:                          20170302Accession No:                    OCLC:                            612583732Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	^^^	L'Avant-garde de l'armée des Pyrénées orientales.Author(s)	"Bussat, Romarin, ; editor.Publication"	Perpignan.	^^^	1	^^^	^^^	^^^	612583732	https://worldcat.org/oclc/612583732	
	"Availability:                    FirstSearch indicates your institution owns the item. Libraries worldwide that own item: 1    Harvard University   Search the HOLLIS CatalogExternal Resources:              Cite This ItemTitle:                            Le contre-poison, ou Préservatif contre les motions insidieuses, cabales, erreurs, mensonges, calomnies & faux principes répandus dans les feuilles de la semaine.[Par Dusaulchoy, Estienne, and others.Author(s):                       Dusaulchoy de Bergemont, Joseph-François-Nicolas,; 1761-1835, ; editor.Publication:                     Paris]Year:                            1791-?Language:                        FrenchNote(s):                         See Bibliog. de la presse périod. fr., par E. Hatin, p. 204.Material Type:                   Periodical (per)Document Type:                   SerialEntry:                           19941104Update:                          20220101Accession No:                    OCLC:                            612648374Provider:        OCLCDatabase:                        WorldCat--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"	^^^	"Le contre-poison, ou Préservatif contre les motions insidieuses, cabales, erreurs, mensonges, calomnies & faux principes répandus dans les feuilles de la semaine.[Par Dusaulchoy, Estienne, and others.Author(s)"	"Dusaulchoy de Bergemont, Joseph-François-Nicolas,; 1761-1835, ; editor.Publication"	Paris]	^^^	1	^^^	^^^	^^^	612648374	https://worldcat.org/oclc/612648374	
